"ワープアイテム" -> "Warp items"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1003" -> "Secret stone ability armor 1003"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1004" -> "Secret stone capability armor 1004"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1005" -> "Secret stone capability armor 1005"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1016" -> "Secret stone skill protection 1016"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1017" -> "Secret stone ability armor 1017"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1018" -> "Secret stone skill protection 1018"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1019" -> "Secret stone skill protection 1019"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1020" -> "Secret stone ability armor 1020"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1048" -> "Secret stone capability armor 1048"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 4019" -> "Secret stone ability armor 4019"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1049" -> "Secret stone ability armor 1049"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1050" -> "Secret stone capability armor 1050"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1051" -> "Secret stone ability armor 1051"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1052" -> "Secret stone ability armor 1052"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 4020" -> "Secret stone ability armor 4020"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1053" -> "Secret stone ability armor 1053"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1056" -> "Secret stone ability armor 1056"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1057" -> "Secret stone ability armor 1057"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1058" -> "Secret stone ability armor 1058"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 4021" -> "Secret stone ability armor 4021"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1089" -> "Secret stone capability armor 1089"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1061" -> "Secret stone capability armor 1061"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1062" -> "Secret stone ability armor 1062"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1063" -> "Secret stone ability armor 1063"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 4022" -> "Secret stone ability armor 4022"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1064" -> "Secret stone capability armor 1064"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 3801" -> "Secret stone ability armor 3801"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 3802" -> "Secret stone ability armor 3802"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 3803" -> "Secret stone ability armor 3803"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 4023" -> "Secret stone skill protection 4023"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 3804" -> "Secret stone ability armor 3804"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1089" -> "Secret stone capability armor 1089"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1090" -> "Secret stone capability armor 1090"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1091" -> "Secret stone ability armor 1091"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
" Stats " -> "Stats"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1107" -> "Secret stone capability armor 1107"
" Stats " -> "Stats"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1108" -> "Secret stone capability armor 1108"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1109" -> "Secret stone skill protection 1109"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1110" -> "Secret stone ability armor 1110"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1186" -> "Secret stone capability armor 1186"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1187" -> "Secret stone capability armor 1187"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1188" -> "Secret stone ability armor 1188"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1189" -> "Secret stone ability armor 1189"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1190" -> "Secret stone skill protection 1190"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1191" -> "Secret stone ability armor 1191"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1192" -> "Secret stone ability armor 1192"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1193" -> "Secret stone ability armor 1193"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1194" -> "Secret stone ability armor 1194"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1195" -> "Secret stone capability armor 1195"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1196" -> "Secret stone ability armor 1196"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1197" -> "Secret stone skill protection 1197"
" Strike" -> "Strike"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1179" -> "Secret stone capability armor 1179"
" Iai Strike" -> "Iai Strike"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1180" -> "Secret stone ability armor 1180"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1592" -> "Secret stone ability armor 1592"
"人間特攻200" -> "Human Battalion 200"
"【秘石】通常攻撃で人間に与えるダメージが100" -> "【Secret stone】 100 damage done to normal human beings"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1212" -> "Secret stone ability armor 1212"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"妖魔特攻200" -> "Yokai gaiza 200"
"【秘石】通常攻撃で妖魔に与えるダメージが100" -> "【Secret stone】 Damage given to a demon by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1213" -> "Secret stone ability armor 1213"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"亜人特攻200" -> "Subagent Special Feature 200"
"【秘石】通常攻撃で亜人に与えるダメージが100" -> "【Secret stone】 Damage given to an ancient person by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1214" -> "Secret stone skill protection 1214"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"淫魔特攻200" -> "Suicide mission 200"
"【秘石】通常攻撃で淫魔に与えるダメージが100" -> "【Secret stone】 Damage given to a devil by normal attack 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1215" -> "Secret stone ability armor 1215"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"吸血鬼特攻200" -> "Vampire gang feature 200"
"【秘石】通常攻撃で吸血鬼に与えるダメージが100" -> "【Secret stone】 Damage given to vampires in regular attacks is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1216" -> "Secret stone ability armor 1216"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"人魚特攻200" -> "Mermaid Special 200"
"【秘石】通常攻撃で人魚に与えるダメージが100" -> "【Secret stone】 The damage to mermaids by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1217" -> "Secret stone skill protection 1217"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"エルフ特攻200" -> "Elves special 200"
"【秘石】通常攻撃でエルフに与えるダメージが100" -> "【Secret stone】 Damage given to elves by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1218" -> "Secret stone ability armor 1218"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"妖精特攻200" -> "Fairy Senso 200"
"【秘石】通常攻撃で妖精に与えるダメージが100" -> "【Secret stone】 Damage to fairy in normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1219" -> "Secret stone ability armor 1219"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"スライム特攻200" -> "Slime Special Feature 200"
"【秘石】通常攻撃でスライムに与えるダメージが100" -> "【Secret stone】 The damage to slime by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1220" -> "Secret stone capability armor 1220"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"魔獣特攻200" -> "Magical Beast Suit 200"
"【秘石】通常攻撃で魔獣に与えるダメージが100" -> "【Secret stone】 Damage given to monsters by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1221" -> "Secret stone ability armor 1221"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"妖狐特攻200" -> "Battlefield Suit 200"
"【秘石】通常攻撃で妖狐に与えるダメージが100" -> "【Secret stone】 Damage given to foxes by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1222" -> "Secret stone ability armor 1222"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"ラミア特攻200" -> "Lamya special case 200"
"【秘石】通常攻撃でラミアに与えるダメージが100" -> "【Secret stone】 Damage given to Lamia by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1223" -> "Secret stone ability armor 1223"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"スキュラ特攻200" -> "Scyra Special Feature 200"
"【秘石】通常攻撃でスキュラに与えるダメージが100" -> "【Secret stone】 The damage given to the scylla by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1224" -> "Secret stone ability armor 1224"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"ハーピー特攻200" -> "Harpies special 200"
"【秘石】通常攻撃でハーピーに与えるダメージが100" -> "【Secret stone】 The damage which Harpie gives in normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1225" -> "Secret stone ability armor 1225"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"竜特攻200" -> "Dragon zest 200"
"【秘石】通常攻撃で竜に与えるダメージが100" -> "【Secret stone】 Damage given to a dragon with normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1226" -> "Secret stone ability armor 1226"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"陸棲種特攻200" -> "Land species special case 200"
"【秘石】通常攻撃で陸棲種に与えるダメージが100" -> "【Secret stone】 Damage to terrestrial species by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1227" -> "Secret stone capability armor 1227"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"海棲種特攻200" -> "Sea creatures Special feature 200"
"【秘石】通常攻撃で海棲種に与えるダメージが100" -> "【Secret stone】 Damage given to marine species by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1228" -> "Secret stone capability armor 1228"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"虫特攻200" -> "Insect Battalion 200"
"【秘石】通常攻撃で虫に与えるダメージが100" -> "【Secret stone】 Damage given to insects by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1229" -> "Secret stone capability armor 1229"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"植物特攻200" -> "Botany special 200"
"【秘石】通常攻撃で植物に与えるダメージが100" -> "【Secret stone】 Damage to plants by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1230" -> "Secret stone ability armor 1230"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"ゾンビ特攻200" -> "Zombie Special Zone 200"
"【秘石】通常攻撃でゾンビに与えるダメージが100" -> "【Secret stone】 Damage given to zombies by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1231" -> "Secret stone ability armor 1231"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"ゴースト特攻200" -> "Ghost Feat. 200"
"【秘石】通常攻撃でゴーストに与えるダメージが100" -> "【Secret stone】 Damage to ghost in normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1232" -> "Secret stone capability armor 1232"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"ドール特攻200" -> "Dole special 200"
"【秘石】通常攻撃でドールに与えるダメージが100" -> "【Secret stone】 Damage given to doll during normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1233" -> "Secret stone skill protection 1233"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
"秘石能力防具 1001" -> "Secret stone ability armor 1001"
"キメラ特攻200" -> "Chimera Special Feature 200"
"【秘石】通常攻撃でキメラに与えるダメージが100" -> "【Secret stone】 Damage given to chimera by normal attack is 100"
"アップする" -> "To upload"
"秘石カテゴリー" -> "Mystery category"
"秘石能力防具 1234" -> "Secret stone skill protection 1234"
"秘石" -> "Secret stone"
"【秘石】……" -> "[Secret stone] ......"
