"♪" -> "♪"
"ネズミ娘" -> "Mouse girl"
"狼娘" -> "Wolf girl"
"犬娘" -> "Dog girl"
"狼娘" -> "Wolf girl"
"ウサギ娘" -> "Rabbit girl"
"羊娘" -> "Sheep daughter"
"ウサギ娘" -> "Rabbit girl"
"羊娘" -> "Sheep daughter"
"犬娘" -> "Dog girl"
"ネズミ娘" -> "Mouse girl"
"羊娘" -> "Sheep daughter"
"オーク娘" -> "Oak girl"
"ウサギ娘" -> "Rabbit girl"
"オーク娘" -> "Oak girl"
"羊娘" -> "Sheep daughter"
"オーク娘" -> "Oak girl"
"銀狐二尾" -> "Two silver foxes"
"かむろ二尾" -> "Kamiro Two-tail"
"かむろ二尾" -> "Kamiro Two-tail"
"銀狐二尾" -> "Two silver foxes"
"ラミア" -> "Lamia"
"画像非固定" -> "Image unfixed"
"シスターラミア" -> "Sister Lamia"
"シスキュバス" -> "Sysky bus"
"シスターラミア" -> "Sister Lamia"
"シスキュバス" -> "Sysky bus"
"アリクイ娘" -> "Ariquai girl"
"アリクイ娘" -> "Ariquai girl"
"シスターラミア" -> "Sister Lamia"
"グリズリー娘" -> "Grizzly girl"
"グリズリー娘" -> "Grizzly girl"
"シスターラミア" -> "Sister Lamia"
"グリズリー娘" -> "Grizzly girl"
"シスキュバス" -> "Sysky bus"
"タランチュラ娘" -> "Tarantula girl"
"ミノタウロス娘" -> "Minotaur girls"
"画像非固定" -> "Image unfixed"
"バンダースナッチ娘" -> "Vander Snatch Musume"
"画像非固定" -> "Image unfixed"
"サボレス" -> "Savoless"
"タランチュラ娘" -> "Tarantula girl"
"サボレス" -> "Savoless"
"ムカデ娘" -> "Centipede girl"
"ムカデ娘" -> "Centipede girl"
"サボレス" -> "Savoless"
"タランチュラ娘" -> "Tarantula girl"
"ムカデ娘" -> "Centipede girl"
"デビルファイター" -> "Devil fighter"
"大蜘蛛" -> "Great spider"
"デビルファイター" -> "Devil fighter"
"大蜘蛛" -> "Great spider"
"百々目鬼" -> "One hundred dirge"
"百々目鬼" -> "One hundred dirge"
"デビルファイター" -> "Devil fighter"
"百々目鬼" -> "One hundred dirge"
"大蜘蛛" -> "Great spider"
"カエル娘" -> "Frog girl"
"カエル娘" -> "Frog girl"
"くのいちエルフ" -> "Kuonochi Elf"
"画像非固定" -> "Image unfixed"
"サムライエルフ" -> "Samurai Elf"
"画像非固定" -> "Image unfixed"
"くのいちエルフ" -> "Kuonochi Elf"
"サムライエルフ" -> "Samurai Elf"
"画像非固定" -> "Image unfixed"
"アリ娘" -> "Ali girl"
"画像非固定" -> "Image unfixed"
"スキュラ" -> "Scura"
"メデューサ" -> "Medusa"
"スキュラ" -> "Scura"
"メデューサ" -> "Medusa"
"あげは娘" -> "Gappa's girl"
"スキュラ" -> "Scura"
"あげは娘" -> "Gappa's girl"
"メデューサ" -> "Medusa"
"あげは娘" -> "Gappa's girl"
"スキュラ" -> "Scura"
"メデューサ" -> "Medusa"
"あげは娘" -> "Gappa's girl"
"ブロム娘" -> "Brom girl"
"ウォーマー" -> "Warmer"
"ブロム娘" -> "Brom girl"
"ウォーマー" -> "Warmer"
"グール" -> "Goole"
"グール" -> "Goole"
"グール" -> "Goole"
"ウィングハーピー" -> "Wing Happy"
"ナイトハーピー" -> "Knight Harpie"
"ウィングハーピー" -> "Wing Happy"
"ナイトハーピー" -> "Knight Harpie"
"ウィングハーピー" -> "Wing Happy"
"ナイトハーピー" -> "Knight Harpie"
"ハナビラカマキリ娘" -> "Hanabira mantis kamakiri girl"
"ウィングハーピー" -> "Wing Happy"
"ハナビラカマキリ娘" -> "Hanabira mantis kamakiri girl"
"ナイトハーピー" -> "Knight Harpie"
"ハナビラカマキリ娘" -> "Hanabira mantis kamakiri girl"
"ゼラチナスキューブ娘" -> "Geratinous cube girl"
"妖鬼" -> "A demon"
"ゼラチナスキューブ娘" -> "Geratinous cube girl"
"妖鬼" -> "A demon"
"虎娘" -> "Tiger daughter"
"ゼラチナスキューブ娘" -> "Geratinous cube girl"
"虎娘" -> "Tiger daughter"
"妖鬼" -> "A demon"
"虎娘" -> "Tiger daughter"
"ゼラチナスキューブ娘" -> "Geratinous cube girl"
"虎娘" -> "Tiger daughter"
"妖鬼" -> "A demon"
"氷の魔女" -> "Ice Witch"
"シロクマ娘" -> "Polar bear girl"
"氷の魔女" -> "Ice Witch"
"シロクマ娘" -> "Polar bear girl"
"混沌の迷宮・海" -> "Chaotic labyrinth / sea"
"ミニカニ娘" -> "Mini cane girl"
"ナマズ娘" -> "Catfish girl"
"ミニカニ娘" -> "Mini cane girl"
"ナマズ娘" -> "Catfish girl"
"ナマコ娘" -> "Sea cucumber girl"
"貝娘" -> "Mother daughter"
"ナマコ娘" -> "Sea cucumber girl"
"貝娘" -> "Mother daughter"
"カニ娘" -> "Crab girl"
"ナマコ娘" -> "Sea cucumber girl"
"カニ娘" -> "Crab girl"
"貝娘" -> "Mother daughter"
"カニ娘" -> "Crab girl"
"ワカメ娘" -> "Seaweed girl"
"クラゲ娘" -> "Jellyfish girl"
"ワカメ娘" -> "Seaweed girl"
"クラゲ娘" -> "Jellyfish girl"
"イソギンチャク娘" -> "Sea anemone daughter"
"画像非固定" -> "Image unfixed"
"アンコウ娘" -> "Ankou girl"
"ワカメ娘" -> "Seaweed girl"
"アンコウ娘" -> "Ankou girl"
"アンコウ娘" -> "Ankou girl"
"クラゲ娘" -> "Jellyfish girl"
"襖" -> "Sliding door"
"マーメイド" -> "Mermaid"
"商人マーメイド" -> "Merchant Mermaid"
"海賊マーメイド" -> "Pirate Mermaid"
"マーメイド" -> "Mermaid"
"商人マーメイド" -> "Merchant Mermaid"
"マーメイド" -> "Mermaid"
"商人マーメイド" -> "Merchant Mermaid"
"海賊マーメイド" -> "Pirate Mermaid"
"商人マーメイド" -> "Merchant Mermaid"
"海賊マーメイド" -> "Pirate Mermaid"
"一反木綿娘" -> "Monotonous cotton girl"
"一反木綿娘" -> "Monotonous cotton girl"
"一反木綿娘" -> "Monotonous cotton girl"
"ダゴン娘" -> "Dagon Musume"
"人魂娘" -> "Soul girl"
"ダゴン娘" -> "Dagon Musume"
"人魂娘" -> "Soul girl"
"タツノコ海兵" -> "Tatsunoko Marine"
"ウミウシ海兵" -> "Umiushi Marine"
"タツノコ海兵" -> "Tatsunoko Marine"
"ウミウシ海兵" -> "Umiushi Marine"
"フェイクジェリー" -> "Fake Jelly"
"スキュラ" -> "Scura"
"フェイクジェリー" -> "Fake Jelly"
"メデューサ" -> "Medusa"
"フェイクジェリー" -> "Fake Jelly"
"スキュラ" -> "Scura"
"メデューサ" -> "Medusa"
"フェイクジェリー" -> "Fake Jelly"
"セイレーン" -> "Siren"
"画像非固定" -> "Image unfixed"
"サンゴ娘" -> "Coral girl"
"ヒトデ娘" -> "Starfish girl"
"サンゴ娘" -> "Coral girl"
"ヒトデ娘" -> "Starfish girl"
"アークジェリー" -> "Arc jelly"
"サンゴ娘" -> "Coral girl"
"アークジェリー" -> "Arc jelly"
"ヒトデ娘" -> "Starfish girl"
"アークジェリー" -> "Arc jelly"
"エルダースキュラ" -> "Elder Scyla"
"画像非固定" -> "Image unfixed"
"シーアネモネ" -> "Sea Anemone"
"水龍娘" -> "Water dragon girl"
"シーアネモネ" -> "Sea Anemone"
"水龍娘" -> "Water dragon girl"
"マンタ娘" -> "Manta girl"
"イッカク娘" -> "Ikkaku girl"
"ナイトマーメイド" -> "Night Mermaid"
"ジェネラルマーメイド" -> "General Mermaid"
"ナイトマーメイド" -> "Night Mermaid"
"ジェネラルマーメイド" -> "General Mermaid"
"ローレライ" -> "Lorelei"
"混沌の迷宮・砂漠" -> "Chaotic labyrinth / desert"
"サソリ娘" -> "Scorpion girl"
"サボテン娘" -> "Cactus girl"
"サボテン娘" -> "Cactus girl"
"サソリ娘" -> "Scorpion girl"
"ダチョウ娘" -> "Ostrich Girl"
"サボテン娘" -> "Cactus girl"
"ダチョウ娘" -> "Ostrich Girl"
"ランプの魔女" -> "Witch of the lamp"
"サボテン娘" -> "Cactus girl"
"ランプの魔女" -> "Witch of the lamp"
"ダチョウ娘" -> "Ostrich Girl"
"ランプの魔女" -> "Witch of the lamp"
"ミイラ娘" -> "Mummy girl"
"コブラ娘" -> "Cobra girl"
"ミイラ娘" -> "Mummy girl"
"コブラ娘" -> "Cobra girl"
"ネフェルラミアス" -> "Nefer Raméas"
"ワニ娘" -> "Crocodile girl"
"蜃気楼娘" -> "Mirage girl"
"蜃気楼娘" -> "Mirage girl"
"ワニ娘" -> "Crocodile girl"
"アリジゴク娘" -> "Ali dragon girl"
"サンドワーム娘" -> "Sandworm girl"
"デザートスキュラ" -> "Desert Scylar"
"蜃気楼娘" -> "Mirage girl"
"デザートスキュラ" -> "Desert Scylar"
"煙々羅" -> "Smoke Luo"
"マスターシャドウ" -> "Master shadow"
"煙々羅" -> "Smoke Luo"
"マスターシャドウ" -> "Master shadow"
"煙々羅" -> "Smoke Luo"
"麒麟" -> "giraffe"
"画像非固定" -> "Image unfixed"
"蛇骨女" -> "Snake bone girl"
"マスターシャドウ" -> "Master shadow"
"蛇骨女" -> "Snake bone girl"
"煙々羅" -> "Smoke Luo"
"蛇骨女" -> "Snake bone girl"
"ベヒーモス娘" -> "Behemoth girl"
"画像非固定" -> "Image unfixed"
"ワイバーン" -> "Wyvern"
"画像非固定" -> "Image unfixed"
"ベヒーモス娘" -> "Behemoth girl"
"ワイバーン" -> "Wyvern"
"画像非固定" -> "Image unfixed"
"巨竜娘" -> "Dragon girl"
"混沌の迷宮・宝箱" -> "Chaotic labyrinth and treasure box"
"ミミック娘" -> "Mimic girl"
"蜜壺" -> "Honeymoon"
"ハコイリ" -> "Hakoiri"
"中章" -> "Middle chapter"
"くのいち三尾" -> "Kui-noi three-tail"
"ži Dahāka" -> "ži Dahāka"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"アルマエルマ" -> "Almaelma"
"画像非固定" -> "Image unfixed"
"画像非固定" -> "Image unfixed"
"混沌の迷宮・洞窟" -> "Chaotic labyrinth / cave"
"ナメクジ娘" -> "Slugs girl"
"ミミズ娘" -> "Earthworm girl"
"ナメクジ娘" -> "Slugs girl"
"ミミズ娘" -> "Earthworm girl"
"ヒル娘" -> "Hill girl"
"ナメクジ娘" -> "Slugs girl"
"ヒル娘" -> "Hill girl"
"ミミズ娘" -> "Earthworm girl"
"ヒル娘" -> "Hill girl"
"ローパー娘" -> "Roper musume"
"メーダ娘" -> "Meeda girl"
"ローパー娘" -> "Roper musume"
"メーダ娘" -> "Meeda girl"
"キャンドル娘" -> "Candle girl"
"ローパー娘" -> "Roper musume"
"キャンドル娘" -> "Candle girl"
"キャンドル娘" -> "Candle girl"
"メーダ娘" -> "Meeda girl"
"クモ娘" -> "Spider girl"
"ゴースト" -> "ghost"
"呪いの人形娘" -> "Curse dolls and girls"
"ゴースト" -> "ghost"
"呪いの人形娘" -> "Curse dolls and girls"
"ゾンビ剣士" -> "Zombie Swordsman"
"ゴースト" -> "ghost"
"呪いの人形娘" -> "Curse dolls and girls"
"ゾンビ剣士" -> "Zombie Swordsman"
"ゾンビ娘" -> "Zombie girl"
"ゾンビ娘" -> "Zombie girl"
"ゾンビ娘" -> "Zombie girl"
"ゾンビ娘" -> "Zombie girl"
"リザードシーフ" -> "Lizards Thief"
"リザードシーフ" -> "Lizards Thief"
"リザードシーフ" -> "Lizards Thief"
"リザードシーフ" -> "Lizards Thief"
"きのこ娘" -> "Mushroom girl"
"画像非固定" -> "Image unfixed"
"ノビスタドール娘" -> "Novista Doll Musume"
"ノビスタドール娘" -> "Novista Doll Musume"
"ウルスキュラ" -> "Ursula"
"ウルスキュラ" -> "Ursula"
"ノビスタドール娘" -> "Novista Doll Musume"
"御菊蟲" -> "Mikoshi"
"御菊蟲" -> "Mikoshi"
"濡れ女" -> "Wetted woman"
"幽霊娘" -> "Ghost daughter"
"濡れ女" -> "Wetted woman"
"濡れ女" -> "Wetted woman"
"ジェリー娘" -> "Jerry Musume"
"ブロブ娘" -> "Blob girl"
"ジェリー娘" -> "Jerry Musume"
"ブロブ娘" -> "Blob girl"
"グリーンスライム" -> "Green slime"
"レッドスライム" -> "Red slime"
"ブルースライム" -> "Blue slime"
"パープルスライム" -> "Purple slime"
"溶岩娘" -> "Lava girl"
"デーモンラミア" -> "Demon Lamia"
"デーモンスキュラ" -> "Daemon Sculla"
"デーモンラミア" -> "Demon Lamia"
"デーモンスキュラ" -> "Daemon Sculla"
"デーモンラミア" -> "Demon Lamia"
"デーモンスキュラ" -> "Daemon Sculla"
"バジリスク娘" -> "Basilisk girl"
"画像非固定" -> "Image unfixed"
"ドラゴン娘" -> "Dragon girl"
"アラクネ" -> "Arachne"
"アラクネ" -> "Arachne"
"アラクネ" -> "Arachne"
"あやし土蜘蛛" -> "Ayashi spider web"
"アラクネロード" -> "Arakne Road"
"アトラク＝ナクア" -> "Atlak-Nakua"
"混沌の迷宮・塔" -> "Chaotic labyrinth / tower"
"ハイスラッグ娘" -> "High Slug Musume"
"ナメクジシスター" -> "Slugs sister"
"ハイスラッグ娘" -> "High Slug Musume"
"ナメクジシスター" -> "Slugs sister"
"ナメクジ娘" -> "Slugs girl"
"ハイスラッグ娘" -> "High Slug Musume"
"ページ" -> "page"
"ページ" -> "page"
"ページ" -> "page"
"ページ" -> "page"
"リトルバグ" -> "Little Bug"
"リトルバグ" -> "Little Bug"
"キャンサーロイド" -> "Cancer Lloyd"
"画像非固定" -> "Image unfixed"
"サックボア" -> "Sakboa"
"アイアンメイデン" -> "Iron Maiden"
"サックボア" -> "Sakboa"
"アイアンメイデン" -> "Iron Maiden"
"ワームビレッジャ" -> "Worm villager"
"画像非固定" -> "Image unfixed"
"ウーストレル" -> "Wurrel"
"サックボア" -> "Sakboa"
"ウーストレル" -> "Wurrel"
"アイアンメイデン" -> "Iron Maiden"
"ウーストレル" -> "Wurrel"
"小鬼" -> "IMP"
"オナホ娘" -> "Onaho girl"
"小鬼" -> "IMP"
"オナホ娘" -> "Onaho girl"
"ナーキュバス" -> "Nurkubas"
"小鬼" -> "IMP"
"ナーキュバス" -> "Nurkubas"
"オナホ娘" -> "Onaho girl"
"ナーキュバス" -> "Nurkubas"
"ハイミノタウロス" -> "Hi Minotaur"
"ミズタウロス" -> "Misutaros"
"ハイミノタウロス" -> "Hi Minotaur"
"ミズタウロス" -> "Misutaros"
"ジニタウロス" -> "Dinitaur"
"ハイミノタウロス" -> "Hi Minotaur"
"ジニタウロス" -> "Dinitaur"
"ミズタウロス" -> "Misutaros"
"ジニタウロス" -> "Dinitaur"
"ハイミノタウロス" -> "Hi Minotaur"
"ミズタウロス" -> "Misutaros"
"ジニタウロス" -> "Dinitaur"
"マジカルアゲハ" -> "Magical swallowtail"
"マジカルフライ" -> "Magical fly"
"マジカルテントウ" -> "Magical tentoo"
"マジカルピクシー" -> "Magical Pixie"
"マジカルエルフ" -> "Magical Elf"
"マジカルサキュバス" -> "Magical Succubus"
"狐獣" -> "A fox-beast"
"くのいち三尾" -> "Kui-noi three-tail"
"もののふ四尾" -> "Nanoha 4 tails"
"くのいち三尾" -> "Kui-noi three-tail"
"もののふ四尾" -> "Nanoha 4 tails"
"くのいち三尾" -> "Kui-noi three-tail"
"もののふ四尾" -> "Nanoha 4 tails"
"狐獣" -> "A fox-beast"
"くのいち三尾" -> "Kui-noi three-tail"
"狐獣" -> "A fox-beast"
"もののふ四尾" -> "Nanoha 4 tails"
"ヴァンパイア" -> "Vampire"
"画像非固定" -> "Image unfixed"
"コンキスタ" -> "A conister"
"ヴェンデッタ" -> "Vendetta"
"コンキスタ" -> "A conister"
"ヴェンデッタ" -> "Vendetta"
"コンキスタ" -> "A conister"
"ヴェンデッタ" -> "Vendetta"
"エルダーヴァンパイア" -> "Elder Vampire"
"マスターシャドウ" -> "Master shadow"
"モンクサキュバス" -> "Monk Succubus"
"モンクデーモン" -> "Monk Demon"
"モンクサキュバス" -> "Monk Succubus"
"モンクデーモン" -> "Monk Demon"
"スキュラサーバント" -> "Scylla servant"
"モンクサキュバス" -> "Monk Succubus"
"スキュラサーバント" -> "Scylla servant"
"モンクデーモン" -> "Monk Demon"
"スキュラサーバント" -> "Scylla servant"
"ヴィーヴル娘" -> "Vivre daughter"
"モンクサキュバス" -> "Monk Succubus"
"ヴィーヴル娘" -> "Vivre daughter"
"モンクデーモン" -> "Monk Demon"
"ヴィーヴル娘" -> "Vivre daughter"
"モンクサキュバス" -> "Monk Succubus"
"モンクデーモン" -> "Monk Demon"
"ヴィーヴル娘" -> "Vivre daughter"
"混沌の迷宮・町" -> "Chaotic labyrinth / town"
"雪女" -> "Snow woman"
"濡れ女" -> "Wetted woman"
"雪女" -> "Snow woman"
"あかなめ" -> "A squirrel"
"画像非固定" -> "Image unfixed"
"ねこまた" -> "Neko"
"河童" -> "Kappa"
"ねこまた" -> "Neko"
"河童" -> "Kappa"
"二口娘" -> "Two-mouth girl"
"画像非固定" -> "Image unfixed"
"あかなめ" -> "A squirrel"
"二口娘" -> "Two-mouth girl"
"画像非固定" -> "Image unfixed"
"巫女ラミア" -> "Shrine maiden Lamia"
"巫女アラクネ" -> "Maiden Arakune"
"巫女ラミア" -> "Shrine maiden Lamia"
"巫女アラクネ" -> "Maiden Arakune"
"毛倡妓" -> "Hair shaft"
"画像非固定" -> "Image unfixed"
"あかなめ" -> "A squirrel"
"毛倡妓" -> "Hair shaft"
"画像非固定" -> "Image unfixed"
"オートマータ娘" -> "Automata daughter"
"パイズリ人形" -> "Fucking doll"
"オートマータ娘" -> "Automata daughter"
"パイズリ人形" -> "Fucking doll"
"マッドゴーレム娘" -> "Mad golem girl"
"ブラックゴーレム" -> "Black golem"
"オートマータ娘" -> "Automata daughter"
"ブラックゴーレム" -> "Black golem"
"パイズリ人形" -> "Fucking doll"
"ブラックゴーレム" -> "Black golem"
"サキュバス" -> "Succubus"
"サキュバス" -> "Succubus"
"サキュバス" -> "Succubus"
"サキュバス" -> "Succubus"
"メイキュバス" -> "Meikyu Bus"
"マキュバス" -> "McBus"
"ミンキュバス" -> "Minkubasu"
"レンキュバス" -> "Lembubus"
"マダムインセクト" -> "Madame Insect"
"マダムアンブレラ" -> "Madame umbrella"
"マダムインセクト" -> "Madame Insect"
"マダムアンブレラ" -> "Madame umbrella"
"アラディア" -> "Aradia"
"天使兵" -> "Angel soldier"
"天使兵" -> "Angel soldier"
"天使兵" -> "Angel soldier"
"天使兵" -> "Angel soldier"
"天使兵" -> "Angel soldier"
"トリニティ" -> "Trinity"
"トリニティ" -> "Trinity"
"トリニティ" -> "Trinity"
"ウラヌス" -> "Uranus"
"エリシエル" -> "Elisiel"
"ウラヌス" -> "Uranus"
"エリシエル" -> "Elisiel"
"キューピッド" -> "Cupid"
"ヴァルキリー" -> "Valkyrie"
"キューピッド" -> "Cupid"
"ヴァルキリー" -> "Valkyrie"
"混沌の迷宮・カオス" -> "Chaotic labyrinth / chaos"
"シュリー" -> "Shree"
"ジェイド" -> "Jade"
"シュリー" -> "Shree"
"ジェイド" -> "Jade"
"シェスタ" -> "Shasta"
"イーター" -> "Eater"
"ライオット" -> "Riot"
"イーター" -> "Eater"
"ライオット" -> "Riot"
"ルクスル" -> "Luxur"
"イーター" -> "Eater"
"ルクスル" -> "Luxur"
"ライオット" -> "Riot"
"ルクスル" -> "Luxur"
"ヴィタエ" -> "Vitae"
"ヴェータラ" -> "Vetara"
"ヴィタエ" -> "Vitae"
"ヴェータラ" -> "Vetara"
"ヴァルト" -> "Wald"
"ヴィタエ" -> "Vitae"
"ヴァルト" -> "Wald"
"ヴェータラ" -> "Vetara"
"ヴァルト" -> "Wald"
"シニファ" -> "Sinifa"
"ヴィタエ" -> "Vitae"
"シニファ" -> "Sinifa"
"ヴェータラ" -> "Vetara"
"シニファ" -> "Sinifa"
"ヴァルト" -> "Wald"
"シニファ" -> "Sinifa"
"シャドー娘" -> "Shadow girl"
"ガイストビーネ" -> "Gastebine"
"シャドー娘" -> "Shadow girl"
"ガイストビーネ" -> "Gastebine"
"キメラホムンクルス" -> "Chimera Homunculus"
"シャドー娘" -> "Shadow girl"
"キメラホムンクルス" -> "Chimera Homunculus"
"アイアンメイデン改" -> "Iron Maiden Kai"
"シャドー娘" -> "Shadow girl"
"アイアンメイデン改" -> "Iron Maiden Kai"
"ジャンクドール娘" -> "Junk doll girl"
"ジェライラ" -> "Jellyra"
"リボ・リボ" -> "Ribo Ribo"
"ジェライラ" -> "Jellyra"
"リボ・リボ" -> "Ribo Ribo"
"アンフィル" -> "Amphill"
"ジェライラ" -> "Jellyra"
"アンフィル" -> "Amphill"
"リボ・リボ" -> "Ribo Ribo"
"アンフィル" -> "Amphill"
"ジェライラ" -> "Jellyra"
"リボ・リボ" -> "Ribo Ribo"
"アンフィル" -> "Amphill"
"ツィンケル" -> "Zinkel"
"ヘリエル" -> "Hellier"
"アルシエル" -> "Alciel"
"キメラビースト" -> "Chimera Beast"
"キメラビースト" -> "Chimera Beast"
"キメラビースト" -> "Chimera Beast"
"キメラビースト" -> "Chimera Beast"
"キメラビースト" -> "Chimera Beast"
"混沌の迷宮・ボス" -> "Chaotic labyrinth / boss"
"ゴブリン娘" -> "Goblin girl"
"プチラミア" -> "Petit Lamia"
"ヴァンパイアガール" -> "Vampire Girl"
"ドラゴンパピー" -> "Dragon Puppy"
"画像非固定" -> "Image unfixed"
"フェニックス娘" -> "Phoenix girl"
"ヌルコ" -> "Nurco"
"クィーンハーピー" -> "Queen Harpy"
"スラグスターズ" -> "Slug Stars"
"七尾" -> "Nanao"
"メイア" -> "Meia"
"ページ" -> "page"
"ブリュンヒルデ" -> "Brunhild"
"クロム" -> "chromium"
"フレデリカ" -> "Frederica"
"シルフ" -> "Silfur"
"エヴァ" -> "Eva"
"サラ" -> "Sara"
"サキ" -> "Saki"
"リリィ" -> "Lily"
"ルシア" -> "Lucia"
"リザードボス" -> "Lizard boss"
"ノーム" -> "Nome"
"ボニー" -> "Bonnie"
"アシェル" -> "Asher"
"デュラハン" -> "Durahan"
"ケルベロス" -> "Kerberos"
"牛魔王" -> "Cow demon king"
"白蛇様" -> "Mr. Whitebackee"
"メフィスト" -> "Mephisto"
"ドローシー" -> "Dorothy"
"ラフィ" -> "Lafi"
"ディーナ" -> "Diana"
"アルラ・プリエステス" -> "Arla Priestes"
"クィーン・ビー" -> "Queen Bee"
"ウンディーネ" -> "Undine"
"ゴーレム娘" -> "Golem girl"
"クィーンアント" -> "Queen ant"
"ベルゼバブ" -> "Beelzebab"
"ベルゼバブ" -> "Beelzebab"
"ベルゼバブ" -> "Beelzebab"
"ポセイドネス" -> "Poseidonesu"
"サキュバス" -> "Succubus"
"ナターシャ" -> "Natasha"
"メイドスキュラ" -> "Maid Scylla"
"キャンディ" -> "candy"
"サラマンダー" -> "Salamander"
"リリス＆リリム" -> "Lilith & Lirim"
"カサンドラ" -> "Cassandra"
"エミリ" -> "Emily"
"ウィッチサキュバス" -> "Witch Succubus"
"クィーンフェアリー" -> "Queen Fairy"
"クィーンエルフ" -> "Queen Elf"
"クィーンアルラウネ" -> "Queen Al-Raune"
"エル" -> "Elle"
"クィーンマーメイド" -> "Queen Mermaid"
"蜘蛛之皇女" -> "Spider Princess"
"カーミラ" -> "Carmilla"
"エリザベート" -> "Elisabeth"
"画像非固定" -> "Image unfixed"
"クィーンヴァンパイア" -> "Queen Vampire"
"黒華" -> "Black flower"
"黒蛇" -> "Black serpent"
"黒薔薇" -> "Black Rose"
"フェルナンデス" -> "Fernandez"
"クィーンラミア" -> "Queen Lamia"
"タイタニア" -> "Titania"
"クィーンスキュラ" -> "Queen Scyla"
"クィーンハーピー" -> "Queen Harpy"
"ロザ" -> "Rosa"
"混沌の迷宮・大ボス" -> "Chaotic labyrinth / big boss"
"モリガン" -> "Morrigan"
