"スキル１番は［攻撃］コマンドを選択したときに使用されます。" -> "Skill number 1 is used when you select the Attack command."
"スキル命中率" -> "Skill Accuracy"
"自己解除 ステート" -> "Self-releasing state"
"技名非表示" -> "Technique name hidden"
"技名非表示" -> "Technique name hidden"
"もがく" -> "Struggle"
"技名非表示" -> "Technique name hidden"
"還元 50" -> "Reduction 50"
"技名非表示" -> "Technique name hidden"
"還元 100" -> "Reduction 100"
"技名非表示" -> "Technique name hidden"
"スティール付与 3" -> "Steel granting 3"
"技名非表示" -> "Technique name hidden"
"スティール付与 4" -> "Steel granting 4"
"自己解除 ステート" -> "Self-releasing state"
"味方全体の体力を回復する癒しの魔法" -> "Healing magic to restore the physical strength of all ally"
"のコスモヒールが癒しをもたらす！" -> "Cosmo heel brings healing!"
"自動戦闘不可" -> "No automatic combat"
"ディフレクター" -> "Deflector"
"の盾が防護壁を展開する！" -> "A shield develops protective walls!"
"防御壁追加 1" -> "Add 1 Defense Wall"
"パッシブ能力防具 1001" -> "Passive ability armor 1001"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 62" -> "Not coexisting memorize 62"
"パッシブ能力防具 1002" -> "Passive ability armor 1002"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 61" -> "Not coexisting memorize 61"
"パッシブ能力防具 1003" -> "Passive ability armor 1003"
"記憶容量 7" -> "Storage capacity 7"
"共存不可メモライズ 61" -> "Not coexisting memorize 61"
"パッシブ能力防具 1004" -> "Passive ability armor 1004"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 61" -> "Not coexisting memorize 61"
"ダミー" -> "dummy"
"パッシブ能力防具 1016" -> "Passive ability armor 1016"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 67" -> "Not coexisting memorize 67"
"パッシブ能力防具 1017" -> "Passive ability armor 1017"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 66" -> "Not coexisting memorize 66"
"パッシブ能力防具 1018" -> "Passive ability armor 1018"
"記憶容量 7" -> "Storage capacity 7"
"共存不可メモライズ 66" -> "Not coexisting memorize 66"
"パッシブ能力防具 1019" -> "Passive ability armor 1019"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 66" -> "Not coexisting memorize 66"
"ダミー" -> "dummy"
"パッシブ能力防具 1046" -> "Passive ability armor 1046"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 72" -> "Not coexisting memorize 72"
"パッシブ能力防具 1047" -> "Passive ability armor 1047"
"記憶容量 6" -> "Storage capacity 6"
"共存不可メモライズ 71" -> "Not coexisting memorize 71"
"パッシブ能力防具 1048" -> "Passive ability armor 1048"
"記憶容量 9" -> "Storage capacity 9"
"共存不可メモライズ 71" -> "Not coexisting memorize 71"
"パッシブ能力防具 1049" -> "Passive ability armor 1049"
"記憶容量 12" -> "Storage capacity 12"
"共存不可メモライズ 71" -> "Not coexisting memorize 71"
"パッシブ能力防具 1050" -> "Passive ability armor 1050"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 76" -> "Not coexisting memorize 76"
"パッシブ能力防具 1051" -> "Passive ability armor 1051"
"記憶容量 8" -> "Storage capacity 8"
"共存不可メモライズ 75" -> "Not coexisting memorize 75"
"パッシブ能力防具 1052" -> "Passive ability armor 1052"
"記憶容量 12" -> "Storage capacity 12"
"共存不可メモライズ 75" -> "Not coexisting memorize 75"
"ダミー" -> "dummy"
"パッシブ能力防具 1054" -> "Passive ability armor 1054"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 80" -> "Not coexisting memorize 80"
"パッシブ能力防具 1055" -> "Passive ability armor 1055"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 79" -> "Not coexisting Memorize 79"
"パッシブ能力防具 1081" -> "Passive ability armor 1081"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 82" -> "Not coexisting memorize 82"
"パッシブ能力防具 1082" -> "Passive ability armor 1082"
"記憶容量 8" -> "Storage capacity 8"
"共存不可メモライズ 81" -> "Not coexisting memorize 81"
"パッシブ能力防具 1083" -> "Passive ability armor 1083"
"記憶容量 12" -> "Storage capacity 12"
"共存不可メモライズ 81" -> "Not coexisting memorize 81"
"ダミー" -> "dummy"
"パッシブ能力防具 1085" -> "Passive ability armor 1085"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 86" -> "Not coexisting memorize 86"
"パッシブ能力防具 1086" -> "Passive ability armor 1086"
"記憶容量 8" -> "Storage capacity 8"
"共存不可メモライズ 85" -> "Not coexisting memorize 85"
"パッシブ能力防具 1087" -> "Passive ability armor 1087"
"記憶容量 12" -> "Storage capacity 12"
"共存不可メモライズ 85" -> "Not coexisting memorize 85"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"パッシブ能力防具 1090" -> "Passive ability armor 1090"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 91" -> "Not coexisting memorize 91"
"パッシブ能力防具 1091" -> "Passive ability armor 1091"
"記憶容量 6" -> "Storage capacity 6"
"共存不可メモライズ 90" -> "Not coexisting Memorize 90"
"パッシブ能力防具 1175" -> "Passive ability armor 1175"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 93" -> "Not coexisting Memorize 93"
"パッシブ能力防具 1176" -> "Passive ability armor 1176"
"記憶容量 6" -> "Storage capacity 6"
"共存不可メモライズ 92" -> "Not coexisting memorize 92"
"パッシブ能力防具 1107" -> "Passive ability armor 1107"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 95" -> "Not coexisting memorize 95"
"パッシブ能力防具 1108" -> "Passive ability armor 1108"
"記憶容量 6" -> "Storage capacity 6"
"共存不可メモライズ 94" -> "Not coexisting memorize 94"
"パッシブ能力防具 1111" -> "Passive ability armor 1111"
"記憶容量 2" -> "Storage capacity 2"
"共存不可メモライズ 97" -> "Not coexisting Memorize 97"
"パッシブ能力防具 1112" -> "Passive ability armor 1112"
"記憶容量 4" -> "Storage capacity 4"
"共存不可メモライズ 96" -> "Not coexisting memorize 96"
"パッシブ能力防具 1109" -> "Passive ability armor 1109"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 99" -> "Not coexisting Memorize 99"
"パッシブ能力防具 1110" -> "Passive ability armor 1110"
"記憶容量 6" -> "Storage capacity 6"
"共存不可メモライズ 98" -> "Not coexisting memorize 98"
"パッシブ能力防具 1186" -> "Passive ability armor 1186"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 101" -> "Not coexisting memorize 101"
"パッシブ能力防具 1187" -> "Passive ability armor 1187"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1188" -> "Passive ability armor 1188"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"ダミー" -> "dummy"
"パッシブ能力防具 1190" -> "Passive ability armor 1190"
"記憶容量 15" -> "Storage capacity 15"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1191" -> "Passive ability armor 1191"
"記憶容量 3" -> "Storage capacity 3"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1192" -> "Passive ability armor 1192"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1193" -> "Passive ability armor 1193"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1194" -> "Passive ability armor 1194"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1195" -> "Passive ability armor 1195"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1196" -> "Passive ability armor 1196"
"記憶容量 5" -> "Storage capacity 5"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"パッシブ能力防具 1197" -> "Passive ability armor 1197"
"記憶容量 1" -> "Storage capacity 1"
"共存不可メモライズ 100" -> "Not coexisting memorize 100"
"ダミー" -> "dummy"
"ダミー" -> "dummy"
"パッシブ能力防具 1592" -> "Passive ability armor 1592"
"記憶容量 12" -> "Storage capacity 12"
"パッシブ能力防具 1212" -> "Passive ability armor 1212"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1213" -> "Passive ability armor 1213"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1214" -> "Passive ability armor 1214"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1215" -> "Passive ability armor 1215"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1216" -> "Passive ability armor 1216"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1217" -> "Passive ability armor 1217"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1218" -> "Passive ability armor 1218"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1219" -> "Passive ability armor 1219"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1220" -> "Passive ability armor 1220"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1221" -> "Passive ability armor 1221"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1222" -> "Passive ability armor 1222"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1223" -> "Passive ability armor 1223"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1224" -> "Passive ability armor 1224"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1225" -> "Passive ability armor 1225"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1226" -> "Passive ability armor 1226"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1227" -> "Passive ability armor 1227"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1228" -> "Passive ability armor 1228"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1229" -> "Passive ability armor 1229"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1230" -> "Passive ability armor 1230"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1231" -> "Passive ability armor 1231"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1232" -> "Passive ability armor 1232"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1233" -> "Passive ability armor 1233"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1234" -> "Passive ability armor 1234"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1235" -> "Passive ability armor 1235"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1236" -> "Passive ability armor 1236"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1202" -> "Passive ability armor 1202"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1203" -> "Passive ability armor 1203"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1204" -> "Passive ability armor 1204"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1205" -> "Passive ability armor 1205"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1206" -> "Passive ability armor 1206"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1207" -> "Passive ability armor 1207"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1208" -> "Passive ability armor 1208"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1209" -> "Passive ability armor 1209"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1210" -> "Passive ability armor 1210"
"記憶容量 6" -> "Storage capacity 6"
"パッシブ能力防具 1211" -> "Passive ability armor 1211"
"記憶容量 6" -> "Storage capacity 6"
"習得不可" -> "Mastered"
"パッシブ能力防具 1201" -> "Passive ability armor 1201"
"記憶容量 10" -> "Storage capacity 10"
"パッシブ能力防具 1237" -> "Passive ability armor 1237"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 152" -> "Not coexisting memorize 152"
"パッシブ能力防具 1238" -> "Passive ability armor 1238"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 151" -> "Not coexisting memorize 151"
"ダミー" -> "dummy"
"パッシブ能力防具 1273" -> "Passive ability armor 1273"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 155" -> "Not coexisting memorize 155"
"パッシブ能力防具 1274" -> "Passive ability armor 1274"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 154" -> "Not coexisting memorize 154"
"ダミー" -> "dummy"
"パッシブ能力防具 1279" -> "Passive ability armor 1279"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 158" -> "Not coexisting memorize 158"
"パッシブ能力防具 1280" -> "Passive ability armor 1280"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 157" -> "Not coexisting memorize 157"
"ダミー" -> "dummy"
"パッシブ能力防具 1282" -> "Passive ability armor 1282"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 161" -> "Not coexisting memorize 161"
"パッシブ能力防具 1283" -> "Passive ability armor 1283"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 160" -> "Not coexisting memorize 160"
"ダミー" -> "dummy"
"パッシブ能力防具 1285" -> "Passive ability armor 1285"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 164" -> "Not coexisting memorize 164"
"パッシブ能力防具 1286" -> "Passive ability armor 1286"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 163" -> "Not coexisting memorize 163"
"ダミー" -> "dummy"
"パッシブ能力防具 1288" -> "Passive ability armor 1288"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 167" -> "Not coexisting memorize 167"
"パッシブ能力防具 1289" -> "Passive ability armor 1289"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 166" -> "Not coexisting memorize 166"
"ダミー" -> "dummy"
"パッシブ能力防具 1291" -> "Passive ability armor 1291"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 170" -> "Not coexisting memorize 170"
"パッシブ能力防具 1292" -> "Passive ability armor 1292"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 169" -> "Not coexisting memorize 169"
"ダミー" -> "dummy"
"パッシブ能力防具 1294" -> "Passive ability armor 1294"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 173" -> "Not coexisting memorize 173"
"パッシブ能力防具 1295" -> "Passive ability armor 1295"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 172" -> "Not coexisting memorize 172"
"ダミー" -> "dummy"
"パッシブ能力防具 1297" -> "Passive ability armor 1297"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 176" -> "Not coexisting memorize 176"
"パッシブ能力防具 1298" -> "Passive ability armor 1298"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 175" -> "Not coexisting memorize 175"
"ダミー" -> "dummy"
"パッシブ能力防具 1300" -> "Passive ability armor 1300"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 179" -> "Not coexisting memorize 179"
"パッシブ能力防具 1301" -> "Passive ability armor 1301"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 178" -> "Not coexisting memorize 178"
"ダミー" -> "dummy"
"パッシブ能力防具 1303" -> "Passive ability armor 1303"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 182" -> "Not coexisting memorize 182"
"パッシブ能力防具 1304" -> "Passive ability armor 1304"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 181" -> "Not coexisting memorize 181"
"ダミー" -> "dummy"
"パッシブ能力防具 1306" -> "Passive ability armor 1306"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 185" -> "Not coexisting memorize 185"
"パッシブ能力防具 1307" -> "Passive ability armor 1307"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 184" -> "Not coexisting memorize 184"
"ダミー" -> "dummy"
"パッシブ能力防具 1309" -> "Passive ability armor 1309"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 188" -> "Not coexisting memorize 188"
"パッシブ能力防具 1310" -> "Passive ability armor 1310"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 187" -> "Not coexisting memorize 187"
"ダミー" -> "dummy"
"パッシブ能力防具 1312" -> "Passive ability armor 1312"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 191" -> "Not coexisting Memorize 191"
"パッシブ能力防具 1313" -> "Passive ability armor 1313"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 190" -> "Not coexisting memorize 190"
"ダミー" -> "dummy"
"パッシブ能力防具 1321" -> "Passive ability armor 1321"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 194" -> "Not coexisting memorize 194"
"パッシブ能力防具 1322" -> "Passive ability armor 1322"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 193" -> "Not coexisting memorize 193"
"ダミー" -> "dummy"
"パッシブ能力防具 1324" -> "Passive ability armor 1324"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 197" -> "Not coexisting Memorize 197"
"パッシブ能力防具 1325" -> "Passive ability armor 1325"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 196" -> "Not coexisting memorize 196"
"ダミー" -> "dummy"
"パッシブ能力防具 1330" -> "Passive ability armor 1330"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 200" -> "Not coexisting memorize 200"
"パッシブ能力防具 1331" -> "Passive ability armor 1331"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 199" -> "Not coexisting memorize 199"
"ダミー" -> "dummy"
"パッシブ能力防具 1333" -> "Passive ability armor 1333"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 203" -> "Not coexisting memorize 203"
"パッシブ能力防具 1334" -> "Passive ability armor 1334"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 202" -> "Not coexisting memorize 202"
"ダミー" -> "dummy"
"パッシブ能力防具 1336" -> "Passive ability armor 1336"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 206" -> "Not coexisting memorize 206"
"パッシブ能力防具 1337" -> "Passive ability armor 1337"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 205" -> "Not coexisting memorize 205"
"ダミー" -> "dummy"
"パッシブ能力防具 1357" -> "Passive ability armor 1357"
"記憶容量 10" -> "Storage capacity 10"
"共存不可メモライズ 209" -> "Not coexisting memorize 209"
"パッシブ能力防具 1358" -> "Passive ability armor 1358"
"記憶容量 20" -> "Storage capacity 20"
"共存不可メモライズ 208" -> "Not coexisting memorize 208"
"ダミー" -> "dummy"
"パッシブ能力防具 1593" -> "Passive ability armor 1593"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1594" -> "Passive ability armor 1594"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1595" -> "Passive ability armor 1595"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1596" -> "Passive ability armor 1596"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1598" -> "Passive ability armor 1598"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1599" -> "Passive ability armor 1599"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1600" -> "Passive ability armor 1600"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1601" -> "Passive ability armor 1601"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1602" -> "Passive ability armor 1602"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1603" -> "Passive ability armor 1603"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1604" -> "Passive ability armor 1604"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1605" -> "Passive ability armor 1605"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1608" -> "Passive ability armor 1608"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1609" -> "Passive ability armor 1609"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1611" -> "Passive ability armor 1611"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1612" -> "Passive ability armor 1612"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1613" -> "Passive ability armor 1613"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1620" -> "Passive ability armor 1620"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1628" -> "Passive ability armor 1628"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1629" -> "Passive ability armor 1629"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1630" -> "Passive ability armor 1630"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1631" -> "Passive ability armor 1631"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1632" -> "Passive ability armor 1632"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1633" -> "Passive ability armor 1633"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1634" -> "Passive ability armor 1634"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1635" -> "Passive ability armor 1635"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1636" -> "Passive ability armor 1636"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1637" -> "Passive ability armor 1637"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1638" -> "Passive ability armor 1638"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1639" -> "Passive ability armor 1639"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1640" -> "Passive ability armor 1640"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1641" -> "Passive ability armor 1641"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1642" -> "Passive ability armor 1642"
"記憶容量 5" -> "Storage capacity 5"
"パッシブ能力防具 1643" -> "Passive ability armor 1643"
"記憶容量 5" -> "Storage capacity 5"
"ダミー" -> "dummy"
"パッシブ能力防具 1751" -> "Passive ability armor 1751"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1752" -> "Passive ability armor 1752"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1753" -> "Passive ability armor 1753"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1754" -> "Passive ability armor 1754"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1755" -> "Passive ability armor 1755"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1756" -> "Passive ability armor 1756"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1757" -> "Passive ability armor 1757"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1770" -> "Passive ability armor 1770"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1773" -> "Passive ability armor 1773"
"記憶容量 2" -> "Storage capacity 2"
"「鉄球技」の威力が防御力にのみ依存する" -> "The power of \"iron ball game\" depends only on defense power"
"パッシブ能力防具 1774" -> "Passive ability armor 1774"
"記憶容量 2" -> "Storage capacity 2"
"「鉄球技」の威力が精神力にのみ依存する" -> "The power of \"iron ball game\" depends only on mental strength"
"パッシブ能力防具 1775" -> "Passive ability armor 1775"
"記憶容量 2" -> "Storage capacity 2"
"「鉄球技」の威力が器用さにのみ依存する" -> "The power of \"iron ball game\" depends only on dexterity"
"パッシブ能力防具 1776" -> "Passive ability armor 1776"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1777" -> "Passive ability armor 1777"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1778" -> "Passive ability armor 1778"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1779" -> "Passive ability armor 1779"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1780" -> "Passive ability armor 1780"
"記憶容量 2" -> "Storage capacity 2"
"パッシブ能力防具 1781" -> "Passive ability armor 1781"
"記憶容量 2" -> "Storage capacity 2"
