"会話：アマゾネスエルフ" -> "Conversation: Amazoness Elf"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"あんたの頭には、エロしかないのかい！？" -> "You have only erotic on your head! What?"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"あんた、エルフの里に行った事はあるかい？" -> "Have you ever been to a elven village?"
"ある" -> "is there"
"ない" -> "Absent"
"里の生まれだ" -> "I was born in a village."
"ある" -> "is there"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"そうなのか！　そりゃすごいねぇ……" -> "Is it so! That's awesome ..."
"ない" -> "Absent"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"まあ、エルフ以外は入れないだろうねぇ……" -> "Well, I will not put anything else except ... ..."
"里の生まれだ" -> "I was born in a village."
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"堂々と嘘を吐くんでないよ……" -> "You do not lie dignifiedly ......"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"筋肉より大切なものが、この世にあるかい……？" -> "Is there something more important than muscle in this world ...?"
"頭脳" -> "brain"
"ちんちん" -> "Wrinkle"
"ない" -> "Absent"
"頭脳" -> "brain"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"ふん……頭脳も筋肉で補えるのさ！" -> "Hmm ... ... Brains are supplemented with muscles!"
"ちんちん" -> "Wrinkle"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"そうだね、チンポは別さ！" -> "That's right, cock is different!"
"あんたのチンポも、頂こうかねぇ……" -> "Let's also have your cock ......"
"ない" -> "Absent"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"そう、世の中は筋肉が決めるのさ！" -> "Yes, muscles decide the world!"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"たまにこの島に、漂流者が辿り着くんだ。" -> "Sometimes drifting people arrive on this island."
"そういう男を、あたし達はどうすると思う？" -> "What do you think would we do with that guy?"
"歓迎する" -> "To welcome"
"輪姦する" -> "To gang rape"
"食う" -> "To eat"
"歓迎する" -> "To welcome"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"しないよ！" -> "I will not do it!"
"部族全員で、徹底的に犯し抜くのさ！" -> "With all members of the tribe, we are thoroughly committed!"
"輪姦する" -> "To gang rape"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"その通り……" -> "Exactly……"
"部族全員で、徹底的に犯し抜くのさ！" -> "With all members of the tribe, we are thoroughly committed!"
"食う" -> "To eat"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"食わないよ！" -> "I will not eat it!"
"要求" -> "request"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"ほしにくをくれないか……？" -> "Would you please give me a bastard ...?"
"「ほしにく」をあげますか？（所持数：" -> "Would you give \"Hoshigaku\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"心が通った気がするぞ！" -> "I feel like I've passed my mind!"
"いいえ" -> "No"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"縁が無かったようだな……" -> "It seems that there was no border ......"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"毒矢に使う、毒キノコをくれないか……？" -> "Can you give me poison mushrooms for poisonous arrows ...?"
"「毒キノコ」をあげますか？（所持数：" -> "Would you give \"poisonous mushroom\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"心が通った気がするぞ！" -> "I feel like I've passed my mind!"
"いいえ" -> "No"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"縁が無かったようだな……" -> "It seems that there was no border ......"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"お金をくれないか……？" -> "Can you give me money ...?"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"心が通った気がするぞ！" -> "I feel like I've passed my mind!"
"いいえ" -> "No"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"縁が無かったようだな……" -> "It seems that there was no border ......"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"あ……貧乏だったか……" -> "Ah ... it was poor ......"
"贈与" -> "Gift"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"エルフの魔石を分けてやろう。" -> "Let's divide the elven manastones."
"アマゾネスエルフから「涙の魔石」をもらった！" -> "I received 'Amazon tears of tears' from Amazones Elf!"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"知り合いのエルフに、手裏剣をもらってな……" -> "You got a shuriken in an acquaintance elf ... ..."
"上手く使えんから、譲ってやる。" -> "I can not use it well, I will hand it over."
"アマゾネスエルフから「オリハルコンの手裏剣」をもらった！" -> "I got \"Orichalcum Shuriken\" from Amazoness Elf!"
"【アマゾネスエルフ】" -> "【Amazones Elf】"
"島では金の使い道がほとんどない……譲ってやろう。" -> "There is little use of gold on the island ... ... I will hand it over."
"アマゾネスエルフから1535Gをもらった！" -> "I got 1535 G from Amazones Elf!"
