"会話：S" -> "Conversation: S"
"【S" -> "【S"
"】" -> "】"
"ねぇ、あそぼうよ……" -> "Hey, let's play ... ..."
"何してあそぶ？" -> "What shall you do then?"
"体を使う遊び" -> "Playing with the body"
"頭を使う遊び" -> "Play with a head"
"エッチな遊び" -> "Horny play"
"体を使う遊び" -> "Playing with the body"
"【S" -> "【S"
"】" -> "】"
"動くの、好き……♪　いっぱい遊ぼうよ♪" -> "I like to move, I love you ... ♪ Let's play a lot ♪"
"頭を使う遊び" -> "Play with a head"
"【S" -> "【S"
"】" -> "】"
"頭を使うの、苦手……" -> "I use my head, I am not good at it ..."
"エッチな遊び" -> "Horny play"
"【S" -> "【S"
"】" -> "】"
"あわあわするの……？" -> "Are you going to be angry?"
"それとも、触手にゅるにゅるする？" -> "Or do you want to look around the tentacles?"
"【S" -> "【S"
"】" -> "】"
"あたしの触手、おいしそう……？" -> "My tentacles look delicious ......?"
"おいしそう" -> "looks delicious"
"まずそう" -> "First of all"
"おいしかった" -> "it was delicious"
"おいしそう" -> "looks delicious"
"【S" -> "【S"
"】" -> "】"
"たべないで……" -> "Do not eat."
"まずそう" -> "First of all"
"【S" -> "【S"
"】" -> "】"
"おいしくないから、たべないでね。" -> "Do not eat it because it is not tasty."
"おいしかった" -> "it was delicious"
"【S" -> "【S"
"】" -> "】"
"もう食べたの！？" -> "I already ate it! What?"
"きづかなかった……" -> "I did not notice ..."
"要求" -> "request"
"【S" -> "【S"
"】" -> "】"
"おにく、ちょうだい……" -> "Geeks, please ..."
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【S" -> "【S"
"】" -> "】"
"うれしい……♪　あわあわ♪" -> "I'm so glad ... ... ♪ I'm hurried ♪"
"いいえ" -> "No"
"【S" -> "【S"
"】" -> "】"
"ぶくぶく……" -> "Fuu Baku ..."
"【S" -> "【S"
"】" -> "】"
"ソーセージ、たべたいな……" -> "I'd like to eat sausages, ... ..."
"「ソーセージ」をあげますか？（所持数：" -> "Do you give \"sausage\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【S" -> "【S"
"】" -> "】"
"うれしい……♪　あわあわ♪" -> "I'm so glad ... ... ♪ I'm hurried ♪"
"いいえ" -> "No"
"【S" -> "【S"
"】" -> "】"
"ぶくぶく……" -> "Fuu Baku ..."
"【S" -> "【S"
"】" -> "】"
"お金、ちょうだい……" -> "give me money……"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【S" -> "【S"
"】" -> "】"
"うれしい……♪　あわあわ♪" -> "I'm so glad ... ... ♪ I'm hurried ♪"
"いいえ" -> "No"
"【S" -> "【S"
"】" -> "】"
"ぶくぶく……" -> "Fuu Baku ..."
"【S" -> "【S"
"】" -> "】"
"……ないみたい。" -> "I do not see it."
"贈与" -> "Gift"
"【S" -> "【S"
"】" -> "】"
"あわあわ……ふしぎな細胞、あげる♪" -> "Awesome ...... Mysterious cells, I'll give you ♪"
"から「イリス細胞」をもらった！" -> "I got \"Iris cells\" from!"
"【S" -> "【S"
"】" -> "】"
"あわあわ……きれいな石をひろったから、洗ってみたよ。" -> "Awesome ... I picked up a beautiful stone and I washed it."
"はい、あげる♪" -> "Yes, I'll give you ♪"
"から「凍結蒼氷石」をもらった！" -> "I got \"frozen blue ice\" from!"
"【S" -> "【S"
"】" -> "】"
"あわあわ……お金、あげる♪" -> "Hurry ... ... money, give it ♪"
"から2050Gをもらった！" -> "I got 2050 G from you!"
