"会話：妖鬼" -> "Conversation: Okimono"
"よっしゃ、今日も悪事を働くぜー！" -> "Well, let's work wrong today!"
"社会の縮図だ" -> "It is a microcosm of microcosm"
"【妖鬼】" -> "【Demon】"
"お前、インテリっぽいな！" -> "You look like intellectuals!"
"【妖鬼】" -> "【Demon】"
"最高の武器って、やっぱり棍棒だよな！" -> "The best weapon is the club of course!"
"棍棒だ" -> "It's a club."
"剣だ" -> "It's a sword."
"鞭だ" -> "A whip."
"棍棒だ" -> "It's a club."
"【妖鬼】" -> "【Demon】"
"おお、分かってるな！" -> "Oh, you do not understand!"
"じゃあ棍棒で殴ってやるぜ！" -> "Then I'll hit you with a club stick!"
"剣だ" -> "It's a sword."
"【妖鬼】" -> "【Demon】"
"お前も剣の信者か！" -> "Are you also a believer in the sword!"
"なら棍棒と勝負だぜ！" -> "Then it's a game with a club!"
"鞭だ" -> "A whip."
"【妖鬼】" -> "【Demon】"
"それはお前の趣味だろう、エロガキめ！" -> "That would be your hobby, erotic!"
"【妖鬼】" -> "【Demon】"
"やっぱり筋肉だよな！" -> "After all it is muscle!"
"筋肉だ" -> "It's a muscle."
"人肉だ" -> "It is human flesh."
"大蒜だ" -> "It's okay."
"筋肉だ" -> "It's a muscle."
"【妖鬼】" -> "【Demon】"
"分かってるな、それじゃあ筋肉行くぜっ！" -> "Do not you understand, then I will go muscle!"
"人肉だ" -> "It is human flesh."
"【妖鬼】" -> "【Demon】"
"怖いだろ！" -> "It's scary!"
"大蒜だ" -> "It's okay."
"【妖鬼】" -> "【Demon】"
"臭いだろ！" -> "It smells!"
"要求" -> "request"
"【妖鬼】" -> "【Demon】"
"酒、くれよ！" -> "Drink, give it!"
"「ヤマタイ酒」をあげますか？（所持数：" -> "Do you give Yamatai liquor? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【妖鬼】" -> "【Demon】"
"おお！　太っ腹だな！" -> "Oh! I am heavy!"
"いいえ" -> "No"
"【妖鬼】" -> "【Demon】"
"じゃあ、ぶっ倒す！" -> "Well then, beat up!"
"【妖鬼】" -> "【Demon】"
"おにぎり、くれよ！" -> "Rice ball, please!"
"「おにぎり」をあげますか？（所持数：" -> "Can you give \"onigiri\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【妖鬼】" -> "【Demon】"
"おお！　太っ腹だな！" -> "Oh! I am heavy!"
"いいえ" -> "No"
"【妖鬼】" -> "【Demon】"
"じゃあ、ぶっ倒す！" -> "Well then, beat up!"
"【妖鬼】" -> "【Demon】"
"金、くれよ！" -> "Money, give it to me!"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【妖鬼】" -> "【Demon】"
"おお！　太っ腹だな！" -> "Oh! I am heavy!"
"いいえ" -> "No"
"【妖鬼】" -> "【Demon】"
"じゃあ、ぶっ倒す！" -> "Well then, beat up!"
"【妖鬼】" -> "【Demon】"
"……ないのか？　じゃあいいや！" -> "Are not you ...? Well then!"
"贈与" -> "Gift"
"【妖鬼】" -> "【Demon】"
"あたしの角、持っていきな！" -> "Take your horny, my friend!"
"妖鬼から「鬼の角」をもらった！" -> "I got \"demon horn\" from a demon!"
"【妖鬼】" -> "【Demon】"
"打出の小槌、持っていきな！" -> "Hold the small hammer of the strike!"
"妖鬼から「打出の小槌」をもらった！" -> "I got a \"hammer of strike\" from a demon!"
"【妖鬼】" -> "【Demon】"
"この金、持っていきな！" -> "Take this money, take it!"
"妖鬼から1860Gをもらった！" -> "I got 1860 G from a demon!"
