"会話：レッドスライム" -> "Conversation: Red slime"
"それじゃあ、あたしも熱血するね！" -> "Well then, I'm going to be hot!"
"暑苦しい" -> "Hot"
"【レッドスライム】" -> "【Red Slime】"
"そう……熱血は少し控えようかな。" -> "Yes ... I should refrain from a little hot blood."
"どうでもいい" -> "Does not matter"
"【レッドスライム】" -> "【Red Slime】"
"まさか、あんたはクールキャラ……！？" -> "No way, you are a cool character ...! What?"
"【レッドスライム】" -> "【Red Slime】"
"あたしの作戦はもちろん……" -> "Of course my strategy ... ..."
"ガンガンいこうぜ" -> "Gangan Ikoso"
"いのちをだいじに" -> "To love life"
"エロエロやろうぜ" -> "Let's do it erotically"
"ガンガンいこうぜ" -> "Gangan Ikoso"
"【レッドスライム】" -> "【Red Slime】"
"やっぱり、ガンガンいかないとね！" -> "After all, I have to go crazy!"
"いのちをだいじに" -> "To love life"
"【レッドスライム】" -> "【Red Slime】"
"そんなの、つまんな～い！" -> "Such a boring ~!"
"エロエロやろうぜ" -> "Let's do it erotically"
"【レッドスライム】" -> "【Red Slime】"
"その作戦、なんだかキモい……" -> "That strategy is kind of pretty ..."
"【レッドスライム】" -> "【Red Slime】"
"ねぇねぇ！　辛い食べ物って、好き……？" -> "Hey! I like spicy food, ... ....?"
"好き" -> "Like"
"嫌い" -> "Hate"
"お前が嫌い" -> "I dislike you."
"好き" -> "Like"
"【レッドスライム】" -> "【Red Slime】"
"じゃあ今度、カレー激辛競争しようよ～！" -> "Well then let's try curry spicy curry!"
"嫌い" -> "Hate"
"【レッドスライム】" -> "【Red Slime】"
"ハッ！　甘ちゃんよねぇ……" -> "Ha! Sweet chan ... Hey ..."
"お前が嫌い" -> "I dislike you."
"【レッドスライム】" -> "【Red Slime】"
"あんた、辛口……" -> "You are dry, ..."
"要求" -> "request"
"【レッドスライム】" -> "【Red Slime】"
"肉が食べたいわね……" -> "I want to eat meat ..."
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【レッドスライム】" -> "【Red Slime】"
"ありがとねっ♪" -> "Thanks ♪ ♪"
"いいえ" -> "No"
"【レッドスライム】" -> "【Red Slime】"
"ちょうだいよぉ……" -> "Give me a chance ......"
"【レッドスライム】" -> "【Red Slime】"
"カエルとか食べると、たまに毒があるのよね……" -> "When eating a frog, there are occasional poisons ...."
"毒消し草とか、ない？" -> "Is not it poisoning grass, is not it?"
"「毒消し草」をあげますか？（所持数：" -> "Will you give \"poisoning grass\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【レッドスライム】" -> "【Red Slime】"
"ありがとねっ♪" -> "Thanks ♪ ♪"
"いいえ" -> "No"
"【レッドスライム】" -> "【Red Slime】"
"ちょうだいよぉ……" -> "Give me a chance ......"
"【レッドスライム】" -> "【Red Slime】"
"お金、もらえない……？" -> "I do not have any money ... ....?"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【レッドスライム】" -> "【Red Slime】"
"ありがとねっ♪" -> "Thanks ♪ ♪"
"いいえ" -> "No"
"【レッドスライム】" -> "【Red Slime】"
"ちょうだいよぉ……" -> "Give me a chance ......"
"【レッドスライム】" -> "【Red Slime】"
"……って、ないのぉ？" -> "Is not it ...?"
"贈与" -> "Gift"
"【レッドスライム】" -> "【Red Slime】"
"ゼリー、あげる！" -> "I will give you jelly!"
"レッドスライムから「ぐにゅぐにゅゼリー」をもらった！" -> "I got \"Gyunyugyun Jelly\" from Red Slime!"
"【レッドスライム】" -> "【Red Slime】"
"これで気合い入れてよ！" -> "Put this in cheeks!"
"レッドスライムから「ブーストドリンク」をもらった！" -> "I got a \"boost drink\" from Red Slime!"
"【レッドスライム】" -> "【Red Slime】"
"お金、あげる！" -> "I will give you money!"
"レッドスライムから575Gをもらった！" -> "I got 575 G from Red Slime!"
