"会話：御菊蟲" -> "Conversation: Mikurigushi"
"きれいなチョウチョ" -> "Beautiful butterfly"
"【御菊蟲】" -> "【Mikuryi】"
"わ～い、うれしいな♪" -> "Wow, I'm so happy."
"大きなチョウチョ" -> "Big butterfly"
"【御菊蟲】" -> "【Mikuryi】"
"あんまり大きくなくてもいいかも……" -> "It may not be too big ..."
"実は蛾" -> "Actually, moth"
"【御菊蟲】" -> "【Mikuryi】"
"……………………" -> "........................"
"その可能性は否定できないようだ……" -> "The possibility can not be denied ... ..."
"【御菊蟲】" -> "【Mikuryi】"
"なぞなぞだよ♪" -> "A mystery ♪"
"太っちょで空が飛べない鳥は、なぁに？" -> "Which bird can not fly sky with fat?"
"すもうとり" -> "Forest"
"ドードー" -> "Dodo"
"飛べない鳥は僕のようだ" -> "A bird that can not fly is like me"
"すもうとり" -> "Forest"
"【御菊蟲】" -> "【Mikuryi】"
"せいか～い♪" -> "I am aware"
"ドードー" -> "Dodo"
"【御菊蟲】" -> "【Mikuryi】"
"そんな鳥、しらない……" -> "I do not know such a bird ......"
"飛べない鳥は僕のようだ" -> "A bird that can not fly is like me"
"【御菊蟲】" -> "【Mikuryi】"
"……なに言ってるの？" -> "... What are you talking about?"
"【御菊蟲】" -> "【Mikuryi】"
"イモムシ友達で、パーティするんだけど……" -> "I'm a caterpillar friend, I'm going to party ..."
"ごちそうは、何がいいかな？" -> "What is a good treat?"
"腐葉土" -> "Mulch"
"たっぷり野菜サラダ" -> "Plenty of vegetable salad"
"人間" -> "A human"
"腐葉土" -> "Mulch"
"【御菊蟲】" -> "【Mikuryi】"
"カブトムシじゃないよう……" -> "It does not seem to be a beetle ..."
"たっぷり野菜サラダ" -> "Plenty of vegetable salad"
"【御菊蟲】" -> "【Mikuryi】"
"そうだね、野菜サラダだいすき～♪" -> "That's right, vegetable salad love ♪"
"人間" -> "A human"
"【御菊蟲】" -> "【Mikuryi】"
"人間、たべないよう！" -> "Humans, do not eat!"
"要求" -> "request"
"【御菊蟲】" -> "【Mikuryi】"
"りんご、食べたいな……" -> "I do not want to eat apples ......"
"「りんご」をあげますか？（所持数：" -> "Do you give \"apples\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【御菊蟲】" -> "【Mikuryi】"
"ありがとうね！" -> "Thanks!"
"いいえ" -> "No"
"【御菊蟲】" -> "【Mikuryi】"
"……くれないの？" -> "Are not you giving up?"
"【御菊蟲】" -> "【Mikuryi】"
"みかん、食べたいな……" -> "I do not want to eat tangerines ......"
"「みかん」をあげますか？（所持数：" -> "Do you give \"oranges\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【御菊蟲】" -> "【Mikuryi】"
"ありがとうね！" -> "Thanks!"
"いいえ" -> "No"
"【御菊蟲】" -> "【Mikuryi】"
"……くれないの？" -> "Are not you giving up?"
"【御菊蟲】" -> "【Mikuryi】"
"おこづかい、ほしいな……" -> "I need you a ...."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【御菊蟲】" -> "【Mikuryi】"
"ありがとうね！" -> "Thanks!"
"いいえ" -> "No"
"【御菊蟲】" -> "【Mikuryi】"
"……くれないの？" -> "Are not you giving up?"
"【御菊蟲】" -> "【Mikuryi】"
"……ないの？" -> "……There no?"
"贈与" -> "Gift"
"【御菊蟲】" -> "【Mikuryi】"
"これ、あげる！" -> "L give this to you!"
"御菊蟲から「魔虫の表皮」をもらった！" -> "I got \"epidermis of the maggot\" from the chrysanthemum!"
"【御菊蟲】" -> "【Mikuryi】"
"これ、あげる！" -> "L give this to you!"
"御菊蟲から「金の針」をもらった！" -> "I got \"gold needle\" from Chikugo!"
"【御菊蟲】" -> "【Mikuryi】"
"お金、あげる！" -> "I will give you money!"
"御菊蟲から680Gをもらった！" -> "I got 680 G from Chikugo!"
