"会話：河童" -> "Conversation: Kappa"
"【河童】" -> "【Kappa】"
"え～？　やろうよ～！" -> "What? Let's do it!"
"また今度" -> "next time"
"【河童】" -> "【Kappa】"
"それ、大人語で「やらない」って意味でしょ！" -> "It means \"Do not do it\" in adult languages!"
"そういうの、きらーい！" -> "Such, Kira!"
"【河童】" -> "【Kappa】"
"そろそろ、カッパの必殺技を考えたいな……" -> "I want to think about kappa's deathblow technique soon ..."
"ねぇ、いい案ない？" -> "Hey, do you have a good plan?"
"カッパキック" -> "Kappa kick"
"お皿カッター" -> "Plate cutter"
"轢殺河童脚" -> "Suicide kappa leg"
"カッパキック" -> "Kappa kick"
"【河童】" -> "【Kappa】"
"それ、いいね♪" -> "I like it. ♪"
"いくよ、カッパキック！" -> "Well, Kappa Kick!"
"お皿カッター" -> "Plate cutter"
"【河童】" -> "【Kappa】"
"皿、投げちゃダメ～！" -> "Do not throw a plate,!"
"轢殺河童脚" -> "Suicide kappa leg"
"【河童】" -> "【Kappa】"
"なんか、すっごく怖いんだけど……" -> "Something's so scary ...."
"【河童】" -> "【Kappa】"
"河童って、なんで体が緑色なのかなぁ……？" -> "Kappa, why is your body green?"
"沼にいるから" -> "Because I am in the swamp"
"キュウリばかり食べるから" -> "Because I eat only cucumbers"
"光合成するから" -> "Because I will photosynthesize"
"沼にいるから" -> "Because I am in the swamp"
"【河童】" -> "【Kappa】"
"そうか、そうだよね！" -> "I see, that's right!"
"沼にいる生き物、みんな緑色っぽいもんね！" -> "Creatures in the swamp, everyone is greenish!"
"キュウリばかり食べるから" -> "Because I eat only cucumbers"
"【河童】" -> "【Kappa】"
"そうなの！？" -> "Is that so! What?"
"でも、今さらやめられないよぉ……" -> "But I can not quit now ... ..."
"光合成するから" -> "Because I will photosynthesize"
"【河童】" -> "【Kappa】"
"しないよ！　あたし、植物じゃないよ！" -> "I will not do it! I am not a plant!"
"要求" -> "request"
"【河童】" -> "【Kappa】"
"きゅうり欲しいなー♪" -> "I want cucumbers ♪"
"「きゅうり」をあげますか？（所持数：" -> "Would you give \"cucumber\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【河童】" -> "【Kappa】"
"すっごく、ありがとー♪" -> "Thank you sooooo much ♪"
"いいえ" -> "No"
"【河童】" -> "【Kappa】"
"いじわる～！" -> "Mean person"
"【河童】" -> "【Kappa】"
"そのお皿、欲しいな。頭に乗せてみたいー♪" -> "I want that dish. I want to put it on my head ♪"
"「シルバートレイ」をあげますか？（所持数：" -> "Can you give up \"Silver Tray\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【河童】" -> "【Kappa】"
"すっごく、ありがとー♪" -> "Thank you sooooo much ♪"
"いいえ" -> "No"
"【河童】" -> "【Kappa】"
"いじわる～！" -> "Mean person"
"【河童】" -> "【Kappa】"
"お金、欲しいな～♪" -> "I want money, ♪ ~ ♪"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【河童】" -> "【Kappa】"
"すっごく、ありがとー♪" -> "Thank you sooooo much ♪"
"いいえ" -> "No"
"【河童】" -> "【Kappa】"
"いじわる～！" -> "Mean person"
"【河童】" -> "【Kappa】"
"そっちも、お金ないんだね……" -> "Either way, I do not have money ..."
"贈与" -> "Gift"
"【河童】" -> "【Kappa】"
"あたしのお皿、あげるー♪" -> "My plate, I will give it ♪"
"河童から「河童の皿」をもらった！" -> "I got \"Kappa dish\" from Kappa!"
"【河童】" -> "【Kappa】"
"沼でむしった草だよ、あげる♪" -> "It is a grass that we lost in the mars, I'll give you ♪"
"河童から「山彦草」をもらった！" -> "I got \"Yamabiko Grass\" from Kappa!"
"【河童】" -> "【Kappa】"
"相撲でむしり取ったお金だよ、あげる♪" -> "It is the money we ruined in sumo, I'll give it ♪"
"河童から1235Gをもらった！" -> "I got 1235 G from Kappa!"
