"会話：アリ娘" -> "Conversation: Ali girl"
"人間ハ、何匹イル？" -> "Human Ha, how many animals?"
"五千万匹" -> "50 million"
"一匹" -> "one"
"たくさん" -> "A lot"
"五千万匹" -> "50 million"
"【アリ娘】" -> "【Ali Girl】"
"ソンナニイルノカ！？　スゴイ！" -> "Sonnaniru noka! What? great!"
"一匹" -> "one"
"【アリ娘】" -> "【Ali Girl】"
"ソレジャ、オ前ガ最後ノ一匹！？" -> "Soreja, o Last god last one! What?"
"大切ニ保護スル……" -> "Important n Protected through ......"
"たくさん" -> "A lot"
"【アリ娘】" -> "【Ali Girl】"
"私、知ッテル。" -> "I, Knowledge."
"人間、3以上ノ数ハ数エラレナイ……" -> "Humans, 3 or more N number H elareni ... ..."
"【アリ娘】" -> "【Ali Girl】"
"私達ノ女王様ハ、クィーンアント！" -> "Our Queen Ha, Queen Ant!"
"オ前ノ女王様ハ誰ダ……？" -> "Oh Mr. Queen Mr. Ha no one ... ....?"
"ソニア" -> "Sonia"
"クィーンアント" -> "Queen ant"
"いない" -> "Not in"
"ソニア" -> "Sonia"
"【アリ娘】" -> "【Ali Girl】"
"ソウカ……ジャア、女王様ノタメニ働ケ！" -> "Souka ...... Jah, Queen Notatani work!"
"クィーンアント" -> "Queen ant"
"【アリ娘】" -> "【Ali Girl】"
"ソレジャ……オ前モ、アリ娘……" -> "Soreja ...... O Previous Mo, Ali girl ......"
"【アリ娘】" -> "【Ali Girl】"
"……ジャナイ！" -> "... .... Jana!"
"【アリ娘】" -> "【Ali Girl】"
"…………！？！？！？" -> "............! What? ! What? ! What?"
"いない" -> "Not in"
"【アリ娘】" -> "【Ali Girl】"
"寂シイナ……" -> "Lonely Sheena ......"
"要求" -> "request"
"【アリ娘】" -> "【Ali Girl】"
"甘イモノ、集メル……ハチミツ、欲シイ……" -> "Sweet potato, gathering mel ... ... Honey, greedy ... ..."
"「ハチミツ」をあげますか？（所持数：" -> "Would you give \"honey\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アリ娘】" -> "【Ali Girl】"
"モラッテ、イイノ……？" -> "Moratte, Iino ...?"
"いいえ" -> "No"
"【アリ娘】" -> "【Ali Girl】"
"自分デ、集メル……" -> "Yourself, Collecting Mell ......"
"【アリ娘】" -> "【Ali Girl】"
"甘イモノ、集メル……チョコ、欲シイ……" -> "Sweet potato, gathering mel ... ... chocolate, greedy shit ......"
"「チョコレート」をあげますか？（所持数：" -> "Would you give \"chocolate\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アリ娘】" -> "【Ali Girl】"
"モラッテ、イイノ……？" -> "Moratte, Iino ...?"
"いいえ" -> "No"
"【アリ娘】" -> "【Ali Girl】"
"自分デ、集メル……" -> "Yourself, Collecting Mell ......"
"【アリ娘】" -> "【Ali Girl】"
"オ金、集メル……" -> "Oh gold, gathering mel ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アリ娘】" -> "【Ali Girl】"
"モラッテ、イイノ……？" -> "Moratte, Iino ...?"
"いいえ" -> "No"
"【アリ娘】" -> "【Ali Girl】"
"自分デ、集メル……" -> "Yourself, Collecting Mell ......"
"【アリ娘】" -> "【Ali Girl】"
"……持ッテナイノ？" -> "...... Hold it?"
"贈与" -> "Gift"
"【アリ娘】" -> "【Ali Girl】"
"薬、アゲル……" -> "Medicine, Agel ..."
"アリ娘から「高級薬草」をもらった！" -> "I received \"high grade herbal medicine\" from Ali girl!"
"【アリ娘】" -> "【Ali Girl】"
"コレデ、元気出セ……" -> "Corde, fine cheerful ... ...."
"アリ娘から「ブーストドリンク」をもらった！" -> "I received \"boost drink\" from Ali girl!"
"【アリ娘】" -> "【Ali Girl】"
"オ金、アゲル……" -> "Oh Kim, Agel ..."
"アリ娘から1475Gをもらった！" -> "I received 1475 G from Ali girl!"
