"会話：リボ・リボ" -> "Conversation: Ribo Ribo"
"並行世界" -> "Concurrent world"
"【リボ・リボ】" -> "【Ribo · ribo】"
"異世界か……まともではないと考えていたが。" -> "I thought that it is different world ...... It is not decent."
"天国" -> "heaven"
"【リボ・リボ】" -> "【Ribo · ribo】"
"天国か……ならば私も行ってみたいな。" -> "If it is heaven ...... then I would like to go."
"サウナ" -> "sauna"
"【リボ・リボ】" -> "【Ribo · ribo】"
"そんな……！　なぜにサウナが……！？" -> "Something like that ...! Why the sauna ... ...! What?"
"【リボ・リボ】" -> "【Ribo · ribo】"
"私の外殻カプセル……" -> "My shell encapsulation ... ..."
"戦闘以外に、使用方はないものか。" -> "Besides battle, is there any way to use it?"
"ベッド" -> "bed"
"タイムカプセル" -> "time capsule"
"棺桶" -> "coffin"
"ベッド" -> "bed"
"【リボ・リボ】" -> "【Ribo · ribo】"
"寝てみるか……？" -> "Do you sleep ...?"
"タイムカプセル" -> "time capsule"
"【リボ・リボ】" -> "【Ribo · ribo】"
"私は、どうすれば……" -> "What should I do ......"
"棺桶" -> "coffin"
"【リボ・リボ】" -> "【Ribo · ribo】"
"お前が入れ……" -> "You put it ... ...."
"要求" -> "request"
"【リボ・リボ】" -> "【Ribo · ribo】"
"動力補給、希望……" -> "Power supply, hope ..."
"「雷石」をあげますか？（所持数：" -> "Would you give \"Thunderstone\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【リボ・リボ】" -> "【Ribo · ribo】"
"補給、完了……" -> "Supply, completion ..."
"いいえ" -> "No"
"【リボ・リボ】" -> "【Ribo · ribo】"
"……………………" -> "........................"
"【リボ・リボ】" -> "【Ribo · ribo】"
"スタミナ補給、希望……" -> "Stamina supply, hope ..."
"「にんにく」をあげますか？（所持数：" -> "Would you give \"garlic\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【リボ・リボ】" -> "【Ribo · ribo】"
"補給、完了……" -> "Supply, completion ..."
"いいえ" -> "No"
"【リボ・リボ】" -> "【Ribo · ribo】"
"……………………" -> "........................"
"【リボ・リボ】" -> "【Ribo · ribo】"
"資金提供、希望……" -> "Funding, hope ... ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【リボ・リボ】" -> "【Ribo · ribo】"
"補給、完了……" -> "Supply, completion ..."
"いいえ" -> "No"
"【リボ・リボ】" -> "【Ribo · ribo】"
"……………………" -> "........................"
"【リボ・リボ】" -> "【Ribo · ribo】"
"……支払い不能。" -> "...... Impossible to pay."
"贈与" -> "Gift"
"【リボ・リボ】" -> "【Ribo · ribo】"
"物資、支給……" -> "Goods, paid ..."
"リボ・リボから「高級薬草」をもらった！" -> "I got \"Higher medicinal herbs\" from Ribo · Ribo!"
"【リボ・リボ】" -> "【Ribo · ribo】"
"物資、支給……" -> "Goods, paid ..."
"リボ・リボから「ほしにく」をもらった！" -> "I got \"hoshikaku\" from Ribo Ribo!"
"【リボ・リボ】" -> "【Ribo · ribo】"
"資金、供出……" -> "Funds, ..."
"リボ・リボから1590Gをもらった！" -> "I received 1590 G from Ribo Ribo!"
