"会話：Q" -> "Conversation: Q"
"実験って、たのしい……？" -> "Experiment is fun, is not it ...?"
"楽しい" -> "pleasant"
"楽しくない" -> "not fun"
"よく回る" -> "To go around well"
"楽しい" -> "pleasant"
"【Q" -> "[Q"
"】" -> "】"
"あたしは、たのしくない……" -> "I am not fun"
"楽しくない" -> "not fun"
"【Q" -> "[Q"
"】" -> "】"
"あたしも、たのしくない……" -> "I am also not fond of ... ..."
"よく回る" -> "To go around well"
"【Q" -> "[Q"
"】" -> "】"
"回るのなら……たのしい！" -> "If it turns ... It is fun!"
"【Q" -> "[Q"
"】" -> "】"
"あたし、何の生き物……？" -> "I, what living things ...?"
"海棲系" -> "Marine system"
"スキュラ" -> "Scura"
"ふしぎないきもの" -> "Mysterious clothes"
"海棲系" -> "Marine system"
"【Q" -> "[Q"
"】" -> "】"
"あたし、海の生き物……" -> "I am a creature of the sea ..."
"海に行きたいな……" -> "I want to go to the beach ......"
"スキュラ" -> "Scura"
"【Q" -> "[Q"
"】" -> "】"
"触手、あるから……？" -> "Because there are tentacles ... ...?"
"にゅるにゅるにゅる……" -> "Northern lights ... ..."
"ふしぎないきもの" -> "Mysterious clothes"
"【Q" -> "[Q"
"】" -> "】"
"ふしぎ？　ふしぎ……？" -> "Wonderland Wonderland ......?"
"要求" -> "request"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐる……バナナ……" -> "A roundabout ... ... a banana ..."
"「バナナ」をあげますか？（所持数：" -> "Can you give me a \"banana\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐる……♪" -> "Round and round ... ... ♪"
"いいえ" -> "No"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐるぐるぐるぐるぐる……" -> "Circling circling, ..."
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐる……あんぱん……" -> "Argon ...... Anpan ..."
"「あんぱん」をあげますか？（所持数：" -> "Can you give \"Anpan\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐる……♪" -> "Round and round ... ... ♪"
"いいえ" -> "No"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐるぐるぐるぐるぐる……" -> "Circling circling, ..."
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐる……おかね……" -> "Argon ...... money money ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐる……♪" -> "Round and round ... ... ♪"
"いいえ" -> "No"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐるぐるぐるぐるぐる……" -> "Circling circling, ..."
"【Q" -> "[Q"
"】" -> "】"
"ない……ない……" -> "There is no ... ...."
"贈与" -> "Gift"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐる細胞……あげる……" -> "Swirling cell ... ... I will give it ..."
"から「イリス細胞」をもらった！" -> "I got \"Iris cells\" from!"
"【Q" -> "[Q"
"】" -> "】"
"ぐるぐるケーキ……あげる……" -> "Going round cake ... .... ... ..."
"から「ロールケーキ」をもらった！" -> "I got a \"roll cake\" from!"
"【Q" -> "[Q"
"】" -> "】"
"おかね、あげる……" -> "I'm going to give up."
"から2050Gをもらった！" -> "I got 2050 G from you!"
