"会話：ウォーマー" -> "Conversation: Warmer"
"お前、ともだち……" -> "You, Friend ......"
"グール" -> "Goole"
"【ウォーマー】" -> "【Warmers】"
"グールはお前など友達ではない。" -> "Ghouls are not friends such as you."
"愛と勇気" -> "Love and courage"
"【ウォーマー】" -> "【Warmers】"
"孤高の強さ……かっこいい……" -> "Strength of solitude ... ... Cool ... ..."
"【ウォーマー】" -> "【Warmers】"
"ぬるぬる、好き……？" -> "Slimy, like ... ....?"
"大好き" -> "I love it."
"大嫌い" -> "hate"
"すでにヌルヌルだ" -> "It's already slimy."
"大好き" -> "I love it."
"【ウォーマー】" -> "【Warmers】"
"ぬるぬるにしてあげる……" -> "I'll make it slimy ... ..."
"ぬるぬるぬる……" -> "Slimy slimy ......"
"【ルカ】" -> "【Luke】"
"うわ～♪" -> "Who is"
"ルカはヌルヌルになった！" -> "Luca became a null null!"
"大嫌い" -> "hate"
"【ウォーマー】" -> "【Warmers】"
"……………………" -> "........................"
"すでにヌルヌルだ" -> "It's already slimy."
"【ウォーマー】" -> "【Warmers】"
"うそつき………" -> "liar………"
"要求" -> "request"
"【ウォーマー】" -> "【Warmers】"
"気付け薬……ちょうだい……" -> "Careful medicine ... Give me ......"
"「気付け薬」をあげますか？（所持数：" -> "Can you give me \"care-of medicine\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ウォーマー】" -> "【Warmers】"
"うれしい……" -> "I'm so glad"
"いいえ" -> "No"
"【ウォーマー】" -> "【Warmers】"
"……くれない！？" -> "... .... Please give me! What?"
"【ウォーマー】" -> "【Warmers】"
"肉……ちょうだい……" -> "Meat ... Give me ......"
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ウォーマー】" -> "【Warmers】"
"うれしい……" -> "I'm so glad"
"いいえ" -> "No"
"【ウォーマー】" -> "【Warmers】"
"……くれない！？" -> "... .... Please give me! What?"
"【ウォーマー】" -> "【Warmers】"
"お金……ちょうだい……" -> "give me money……"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ウォーマー】" -> "【Warmers】"
"うれしい……" -> "I'm so glad"
"いいえ" -> "No"
"【ウォーマー】" -> "【Warmers】"
"……くれない！？" -> "... .... Please give me! What?"
"【ウォーマー】" -> "【Warmers】"
"……ない！？" -> "……Absent! What?"
"贈与" -> "Gift"
"【ウォーマー】" -> "【Warmers】"
"あげる……" -> "Will give you"
"ウォーマーから「ネクロパウダー」をもらった！" -> "I got \"Necro Powder\" from Warmer!"
"【ウォーマー】" -> "【Warmers】"
"あげる……" -> "Will give you"
"ウォーマーから「ほしにく」をもらった！" -> "I got \"Hoshino\" from the warmer!"
"【ウォーマー】" -> "【Warmers】"
"あげる……" -> "Will give you"
"ウォーマーから1355Gをもらった！" -> "I got 1355 G from a warmer!"
