"会話：アークジェリー" -> "Conversation: ARK JELLY"
"人間もすぐ生えてくる" -> "Man also comes up soon"
"うらやましい" -> "I envy"
"【アークジェリー】" -> "【Ark Jelly】"
"ふふ～ん……♪" -> "Huh he ... ♪"
"うらやましくない" -> "I'm not jealous"
"【アークジェリー】" -> "【Ark Jelly】"
"しょぼん……" -> "Shobon"
"人間もすぐ生えてくる" -> "Man also comes up soon"
"【アークジェリー】" -> "【Ark Jelly】"
"……えっ？　そうなの……？" -> "……eh? Is that so……?"
"【アークジェリー】" -> "【Ark Jelly】"
"あたしの触手って、何本あるの……？" -> "How many are my tentacles ...?"
"～30本" -> "~ 30"
"万本" -> "A million"
"本もない" -> "There is no book"
"～30本" -> "~ 30"
"【アークジェリー】" -> "【Ark Jelly】"
"いっぱい、あるでしょ……" -> "There are plenty, do not you ...?"
"万本" -> "A million"
"【アークジェリー】" -> "【Ark Jelly】"
"そんなにあると……こわい……" -> "There is so much ... ... scary ..."
"本もない" -> "There is no book"
"【アークジェリー】" -> "【Ark Jelly】"
"あるよ……あるよ……" -> "There is ... ... There are ..."
"要求" -> "request"
"【アークジェリー】" -> "【Ark Jelly】"
"さかな、食べたい……" -> "Fish, I want to eat ......"
"「さかな」をあげますか？（所持数：" -> "Do you give \"fish\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アークジェリー】" -> "【Ark Jelly】"
"ふふ……" -> "Whatching"
"いいえ" -> "No"
"【アークジェリー】" -> "【Ark Jelly】"
"くれないの……？" -> "Are not you giving up?"
"【アークジェリー】" -> "【Ark Jelly】"
"聖水、ちょうだい……" -> "Holy water, please ..."
"「聖水」をあげますか？（所持数：" -> "Do you give \"holy water\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アークジェリー】" -> "【Ark Jelly】"
"ふふ……" -> "Whatching"
"いいえ" -> "No"
"【アークジェリー】" -> "【Ark Jelly】"
"くれないの……？" -> "Are not you giving up?"
"【アークジェリー】" -> "【Ark Jelly】"
"お金、ほしい……" -> "I want money, ... ...."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アークジェリー】" -> "【Ark Jelly】"
"ふふ……" -> "Whatching"
"いいえ" -> "No"
"【アークジェリー】" -> "【Ark Jelly】"
"くれないの……？" -> "Are not you giving up?"
"【アークジェリー】" -> "【Ark Jelly】"
"……ないの？" -> "……There no?"
"贈与" -> "Gift"
"【アークジェリー】" -> "【Ark Jelly】"
"サンゴ、あげる……" -> "I will give you coral ......"
"アークジェリーから「大海の珊瑚」をもらった！" -> "I got \"coral of the ocean\" from Ark Jelly!"
"【アークジェリー】" -> "【Ark Jelly】"
"ノリが触手に絡まってた……あげる……" -> "Nori was entangled with tentacles ... I will give ... ..."
"アークジェリーから「のり」をもらった！" -> "I got \"glue\" from Arc Jerry!"
"【アークジェリー】" -> "【Ark Jelly】"
"お金ひろったの……あげる……" -> "I paid money ... I will give you ..."
"アークジェリーから1645Gをもらった！" -> "I got 1645 G from ARK JELLY!"
