"会話：AD" -> "Conversation: AD"
"変わった人間だな……" -> "It's a strange person ......"
"よそ者" -> "Stranger"
"【AD" -> "[AD"
"】" -> "】"
"よそ者であることは分かっている……" -> "I know that it is an outsider ..."
"つけもの" -> "Tsukemono"
"【AD" -> "[AD"
"】" -> "】"
"喋って戦うつけものだと……？" -> "If you talk and talk about fighting ......?"
"奇怪だ……" -> "It's strange ..."
"【AD" -> "[AD"
"】" -> "】"
"この世界に……希望はあるのか……？" -> "Is there hope ... ... in this world ...?"
"ある" -> "is there"
"ない" -> "Absent"
"あったりなかったり" -> "I do not get it"
"ある" -> "is there"
"【AD" -> "[AD"
"】" -> "】"
"そう信じたいが……" -> "I would like to believe that ...."
"ない" -> "Absent"
"【AD" -> "[AD"
"】" -> "】"
"悲しいな……" -> "sad……"
"あったりなかったり" -> "I do not get it"
"【AD" -> "[AD"
"】" -> "】"
"移ろいゆくものか……" -> "Is it going to change ...?"
"そうかもしれんな……" -> "Maybe so ..."
"要求" -> "request"
"【AD" -> "[AD"
"】" -> "】"
"ニンニクを……" -> "Garlic ......"
"「にんにく」をあげますか？（所持数：" -> "Would you give \"garlic\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【AD" -> "[AD"
"】" -> "】"
"感謝する……" -> "Thank you ......"
"いいえ" -> "No"
"【AD" -> "[AD"
"】" -> "】"
"足りない……" -> "not enough……"
"【AD" -> "[AD"
"】" -> "】"
"金の針を……" -> "A golden needle ......"
"「金の針」をあげますか？（所持数：" -> "Could you give \"golden needle\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【AD" -> "[AD"
"】" -> "】"
"感謝する……" -> "Thank you ......"
"いいえ" -> "No"
"【AD" -> "[AD"
"】" -> "】"
"足りない……" -> "not enough……"
"【AD" -> "[AD"
"】" -> "】"
"金を……" -> "Money ......"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【AD" -> "[AD"
"】" -> "】"
"感謝する……" -> "Thank you ......"
"いいえ" -> "No"
"【AD" -> "[AD"
"】" -> "】"
"足りない……" -> "not enough……"
"【AD" -> "[AD"
"】" -> "】"
"持っていないか……" -> "I do not have it ... ...."
"贈与" -> "Gift"
"【AD" -> "[AD"
"】" -> "】"
"細胞を……受け取れ……" -> "Receiving cells ... ...."
"から「イリス細胞」をもらった！" -> "I got \"Iris cells\" from!"
"【AD" -> "[AD"
"】" -> "】"
"薬草を……受け取れ……" -> "Herbal medicine ... ... Received ..."
"から「高級薬草」をもらった！" -> "I got \"high grade herbs\" from!"
"【AD" -> "[AD"
"】" -> "】"
"金を……受け取れ……" -> "Money ... ... Received ... ..."
"から2110Gをもらった！" -> "I got 2110 G from!"
