"会話：シロクマ娘" -> "Conversation: Polar bear girl"
"シロクマ" -> "Polar bear"
"クロクマ" -> "Black bear"
"普通のクマ" -> "Ordinary bear"
"【シロクマ娘】" -> "【Polar bear girl】"
"白くないクマ……？" -> "A bear that is not white ... ...?"
"シロクマ" -> "Polar bear"
"【シロクマ娘】" -> "【Polar bear girl】"
"…………♪" -> "............ ♪"
"クロクマ" -> "Black bear"
"【シロクマ娘】" -> "【Polar bear girl】"
"黒いクマ！？　たぶん、悪者……" -> "Black bear! What? Maybe the bad guy ......"
"【シロクマ娘】" -> "【Polar bear girl】"
"シロクマ、いじめる？" -> "Polar bears, teasing?"
"いじめない" -> "Do not bully"
"いじめる" -> "Tease"
"いじめられる" -> "To be bullied"
"いじめない" -> "Do not bully"
"【シロクマ娘】" -> "【Polar bear girl】"
"ぬくぬく、しよ……？" -> "Warmth, try ...?"
"いじめる" -> "Tease"
"【シロクマ娘】" -> "【Polar bear girl】"
"きらい……" -> "I hate it."
"いじめられる" -> "To be bullied"
"【シロクマ娘】" -> "【Polar bear girl】"
"シロクマは、いじめないよ……" -> "Polar bears do not bully ..."
"要求" -> "request"
"【シロクマ娘】" -> "【Polar bear girl】"
"お肉……食べたい……" -> "Meat ... ... I want to eat ......"
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【シロクマ娘】" -> "【Polar bear girl】"
"むしゃむしゃ……" -> "Musashinas ......"
"いいえ" -> "No"
"【シロクマ娘】" -> "【Polar bear girl】"
"がー！" -> "Okay!"
"【シロクマ娘】" -> "【Polar bear girl】"
"薬草、食べたい……" -> "I want to eat medicinal herbs ......"
"「高級薬草」をあげますか？（所持数：" -> "Do you give \"high grade herbs\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【シロクマ娘】" -> "【Polar bear girl】"
"むしゃむしゃ……" -> "Musashinas ......"
"いいえ" -> "No"
"【シロクマ娘】" -> "【Polar bear girl】"
"がー！" -> "Okay!"
"【シロクマ娘】" -> "【Polar bear girl】"
"お金、おいしい……？" -> "Money, tasty ... ....?"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【シロクマ娘】" -> "【Polar bear girl】"
"むしゃむしゃ……おいしくない。" -> "Mushy ... ... It is not tasty."
"いいえ" -> "No"
"【シロクマ娘】" -> "【Polar bear girl】"
"がー！" -> "Okay!"
"【シロクマ娘】" -> "【Polar bear girl】"
"持ってないの？　たべちゃった……？" -> "You do not have it? Did you eat?"
"贈与" -> "Gift"
"【シロクマ娘】" -> "【Polar bear girl】"
"お薬、あげる……" -> "I will give you your medicine ......"
"シロクマ娘から「万能薬」をもらった！" -> "I got \"panacea drug\" from polar bear daughter!"
"【シロクマ娘】" -> "【Polar bear girl】"
"プリン、あげる……" -> "Pudding, give up ......"
"シロクマ娘から「プリン」をもらった！" -> "I got \"Pudding\" from polar bear daughter!"
"【シロクマ娘】" -> "【Polar bear girl】"
"お金、おいしくない……あげる……" -> "Money, not tasty ... .... I will give you ...."
"シロクマ娘から1995Gをもらった！" -> "I got 1995 G from polar bear daughter!"
