"会話：トリックフェアリー" -> "Conversation: Trick Fairy"
"【トリックフェアリー】" -> "【Trick Fairy】"
"これまでキミがやらかした、一番大きなイタズラってなぁに？" -> "What is the biggest mischief that you've done so far?"
"落とし穴" -> "Pitfall"
"いがぐり爆弾" -> "Irregular bomb"
"法王暗殺" -> "Assassination of the pope"
"落とし穴" -> "Pitfall"
"【トリックフェアリー】" -> "【Trick Fairy】"
"落とし穴、楽しいよね～♪" -> "The pitfall is fun, is not it? ♪"
"いがぐり爆弾" -> "Irregular bomb"
"【トリックフェアリー】" -> "【Trick Fairy】"
"うわ、ひっど～い♪" -> "Wow, hey ♪"
"法王暗殺" -> "Assassination of the pope"
"【トリックフェアリー】" -> "【Trick Fairy】"
"それじゃテロだよ……" -> "That's terrorism ..."
"【トリックフェアリー】" -> "【Trick Fairy】"
"エルフお姉ちゃんに、プレゼントを贈りたいの。" -> "I'd like to give a gift to my elder sister."
"ねぇ、何がいいかな……？" -> "Hey, what should I do ...?"
"高級薬草詰め合わせ" -> "Assortment of high grade herbs"
"おしゃれイヤリング" -> "Fashionable Earrings"
"いやらしいパンツ" -> "Nasty pants"
"高級薬草詰め合わせ" -> "Assortment of high grade herbs"
"【トリックフェアリー】" -> "【Trick Fairy】"
"よくケガするから、喜んでくれるよね♪" -> "Because I am injured well, I will be pleased ♪"
"おしゃれイヤリング" -> "Fashionable Earrings"
"【トリックフェアリー】" -> "【Trick Fairy】"
"エルフお姉ちゃん、あんまりオシャレはしないかも……" -> "Elf's older sister, maybe not stylish ......"
"いやらしいパンツ" -> "Nasty pants"
"【トリックフェアリー】" -> "【Trick Fairy】"
"怒られちゃうよ～！" -> "I will get mad!"
"【トリックフェアリー】" -> "【Trick Fairy】"
"妖精の島に、何をしに来たの……？" -> "What did you come to do on the fairy island ...?"
"女王を倒しに" -> "Kill the Queen"
"妖精狩りに" -> "To fairy hunt"
"友達になりに" -> "Become friends"
"女王を倒しに" -> "Kill the Queen"
"【トリックフェアリー】" -> "【Trick Fairy】"
"女王様をやっつけるなんて、許さないから～！" -> "I will not forgive to queen the Queen!"
"妖精狩りに" -> "To fairy hunt"
"【トリックフェアリー】" -> "【Trick Fairy】"
"助けて～！" -> "Help me ~!"
"友達になりに" -> "Become friends"
"【トリックフェアリー】" -> "【Trick Fairy】"
"それじゃあ、友達になろうよ～！" -> "Well then, let's be friends ~!"
"この戦いが終わった後でね！" -> "After this battle is over!"
"要求" -> "request"
"【トリックフェアリー】" -> "【Trick Fairy】"
"アメ、ちょうだ～い♪" -> "Ame, it is just ♪"
"「アメ玉」をあげますか？（所持数：" -> "Do you give \"Amebu\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【トリックフェアリー】" -> "【Trick Fairy】"
"わ～い♪" -> "I"
"いいえ" -> "No"
"【トリックフェアリー】" -> "【Trick Fairy】"
"いじわる～！" -> "Mean person"
"【トリックフェアリー】" -> "【Trick Fairy】"
"チョコ、ちょうだ～い♪" -> "Chocolate, it's you, ♪"
"「チョコレート」をあげますか？（所持数：" -> "Would you give \"chocolate\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【トリックフェアリー】" -> "【Trick Fairy】"
"わ～い♪" -> "I"
"いいえ" -> "No"
"【トリックフェアリー】" -> "【Trick Fairy】"
"いじわる～！" -> "Mean person"
"【トリックフェアリー】" -> "【Trick Fairy】"
"おこづかい、ちょうだ～い♪" -> "Welcome, you are ♪"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【トリックフェアリー】" -> "【Trick Fairy】"
"わ～い♪" -> "I"
"いいえ" -> "No"
"【トリックフェアリー】" -> "【Trick Fairy】"
"いじわる～！" -> "Mean person"
"【トリックフェアリー】" -> "【Trick Fairy】"
"……って、お金ないじゃん！" -> "...... I have no money!"
"贈与" -> "Gift"
"【トリックフェアリー】" -> "【Trick Fairy】"
"どんぐり、あげる♪" -> "Acorn, I'll give you ♪"
"トリックフェアリーから「精霊のどんぐり」をもらった！" -> "Trick Fairy got \"Acorn of the Spirit\"!"
"【トリックフェアリー】" -> "【Trick Fairy】"
"りんご、あげる♪" -> "Apple, I'll give you ♪"
"トリックフェアリーから「りんご」をもらった！" -> "I got \"apple\" from trick fairy!"
"【トリックフェアリー】" -> "【Trick Fairy】"
"お金、あげる♪" -> "I'll give you money, ♪"
"島じゃあんまり使わないもんね♪" -> "I do not really use it on the island ♪"
"トリックフェアリーから1550Gをもらった！" -> "I got 1550 G from trick fairy!"
