"会話：アルラ・マッシュ" -> "Conversation: Arla Mash"
"どっちも" -> "Which also"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"混ざり合う事はない……" -> "There is no thing to mix ......"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこの名前しりとり、する？" -> "Do you want me to name your mushrooms?"
"する" -> "To"
"しない" -> "do not do"
"別の遊びをしよう" -> "Let's play another game"
"する" -> "To"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"なめこ！" -> "Namesko!"
"しない" -> "do not do"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ベニテングタケ……" -> "Benitetake ..."
"別の遊びをしよう" -> "Let's play another game"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ヤダー！" -> "Yada!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ狩りって、なに？" -> "What is mushrooms hunting?"
"きのこ、狩っちゃうの……？" -> "Mushrooms, are you hunting ...?"
"きのこを採って食べる" -> "Take mushrooms and eat"
"一匹残らず狩り尽くす" -> "Every single hunt"
"理不尽と戦え" -> "Fight unreasonable"
"きのこを採って食べる" -> "Take mushrooms and eat"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ならいいや……" -> "No wonder ......"
"きのこ、おいしいよ！" -> "Mushrooms, it's delicious!"
"一匹残らず狩り尽くす" -> "Every single hunt"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"やめてー！" -> "Stop!"
"もう、きのこ食べられなくなるよ……？" -> "I can not eat mushrooms anymore ... ....?"
"理不尽と戦え" -> "Fight unreasonable"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"私、戦う！" -> "I, fight!"
"きのこ狩り狩りをやる！" -> "I will hunt for mushrooms hunting!"
"要求" -> "request"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"土が欲しいな！　土の力が欲しいな！" -> "I want soil! I want the power of the earth!"
"「土石」をあげますか？（所持数：" -> "Would you give \"earth stone\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ウケケケケ……！！" -> "Ukekekeke ... ...!! !"
"いいえ" -> "No"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"……………………" -> "........................"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"毒でクラクラ、毒きのこ……" -> "Poisonous, crackling, poisonous mushrooms ......"
"「毒消し草」をあげますか？（所持数：" -> "Will you give \"poisoning grass\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ウケケケケ……！！" -> "Ukekekeke ... ...!! !"
"いいえ" -> "No"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"……………………" -> "........................"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"お金ほしいな！　お金！" -> "I want money! Money!"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ウケケケケ……！！" -> "Ukekekeke ... ...!! !"
"いいえ" -> "No"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"……………………" -> "........................"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"ない！？　ないね……" -> "Absent! What? Not yet ..."
"贈与" -> "Gift"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ、おいしいよ！" -> "Mushrooms, it's delicious!"
"アルラ・マッシュから「しいたけ」をもらった！" -> "I got \"Shiitake\" from Arla Mash!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"きのこ、おいしいよ！" -> "Mushrooms, it's delicious!"
"アルラ・マッシュから「毒キノコ」をもらった！" -> "I got \"poison mushroom\" from Arla Mash!"
"【アルラ・マッシュ】" -> "【Arla · Mash】"
"お金、いらないや……" -> "I do not need money, ... ..."
"アルラ・マッシュから1080Gをもらった！" -> "I got 1080 G from Arla Mash!"
