"会話：A" -> "Conversation: A"
"冷たいわね……" -> "It's cold ..."
"もう戻っている" -> "I am already back"
"【A" -> "【A"
"】" -> "】"
"ふざけないで！" -> "Stop kidding me!"
"まったく戻っていないじゃない！" -> "You are not back at all!"
"【A" -> "【A"
"】" -> "】"
"どうやら、自由の身になったようだけど……" -> "Apparently, I seem to have become freedom ... ..."
"これから先、私はどうすればいいかしら？" -> "I wonder what I should do in the future?"
"天使に復帰" -> "Returning to an angel"
"魔物として生きる" -> "Live as a demon"
"仲間になれ" -> "Be a friend"
"天使に復帰" -> "Returning to an angel"
"【A" -> "【A"
"】" -> "】"
"この姿で、そんなの出来るわけないでしょう！" -> "With this figure, you can not do such a thing!"
"魔物として生きる" -> "Live as a demon"
"【A" -> "【A"
"】" -> "】"
"そうね、それもいいわね……" -> "Well, that's fine ..."
"こんな醜い姿だもの……" -> "Such an ugly figure ......"
"仲間になれ" -> "Be a friend"
"【A" -> "【A"
"】" -> "】"
"誘ってくれたのは、素直に嬉しいわ……" -> "It is frankly nice to have invited me ......"
"でも、あまり人前に出たくないのよ……" -> "But, I do not want to go to public so much ......"
"【A" -> "【A"
"】" -> "】"
"実験は……好きかしら？" -> "Experiment ... ... Do you like it?"
"好き" -> "Like"
"嫌い" -> "Hate"
"お前も実験してやろうか" -> "Shall I experiment with you too?"
"好き" -> "Like"
"【A" -> "【A"
"】" -> "】"
"許せないわ……！" -> "I can not forgive ...!"
"嫌い" -> "Hate"
"【A" -> "【A"
"】" -> "】"
"私も、実験なんて大嫌いよ……！" -> "I also dislike experiments ...!"
"お前も実験してやろうか" -> "Shall I experiment with you too?"
"【A" -> "【A"
"】" -> "】"
"もうされたわよ！" -> "I was done already!"
"要求" -> "request"
"【A" -> "【A"
"】" -> "】"
"米が食べたいわ……" -> "I want to eat rice ..."
"「ライス」をあげますか？（所持数：" -> "Do you give \"rice\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【A" -> "【A"
"】" -> "】"
"親切ね……" -> "It's kind, is not it."
"いいえ" -> "No"
"【A" -> "【A"
"】" -> "】"
"欲しいわ……欲しいのに……" -> "I want it ... ... I want it ......"
"【A" -> "【A"
"】" -> "】"
"聖なる力を、分けて……" -> "Divine the holy powers ... ..."
"「聖石」をあげますか？（所持数：" -> "Do you give \"Stone Stone\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【A" -> "【A"
"】" -> "】"
"親切ね……" -> "It's kind, is not it."
"いいえ" -> "No"
"【A" -> "【A"
"】" -> "】"
"欲しいわ……欲しいのに……" -> "I want it ... ... I want it ......"
"【A" -> "【A"
"】" -> "】"
"お金……ちょうだい……" -> "give me money……"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【A" -> "【A"
"】" -> "】"
"親切ね……" -> "It's kind, is not it."
"いいえ" -> "No"
"【A" -> "【A"
"】" -> "】"
"欲しいわ……欲しいのに……" -> "I want it ... ... I want it ......"
"【A" -> "【A"
"】" -> "】"
"使い果たしたのね……" -> "You ran out of ... ..."
"贈与" -> "Gift"
"【A" -> "【A"
"】" -> "】"
"私の細胞を受け取って……" -> "I received my cells ......"
"から「イリス細胞」をもらった！" -> "I got \"Iris cells\" from!"
"【A" -> "【A"
"】" -> "】"
"私の聖水を受け取って……" -> "Please accept my holy water ..."
"から「聖水」をもらった！" -> "I received \"holy water\" from!"
"【A" -> "【A"
"】" -> "】"
"お金を受け取って……" -> "Receive the money ..."
"から2090Gをもらった！" -> "I got 2090 G from you!"
