"会話：ジェライラ" -> "Conversation: Jellyra"
"この体になり、激情は失われました……" -> "This body, the passion was lost ... ..."
"哀しみ" -> "sorrow"
"【ジェライラ】" -> "【Jeala】"
"哀しみの旋律……今は聞きたくありません。" -> "Melody of sorrow ... ... I do not want to hear now."
"【ジェライラ】" -> "【Jeala】"
"このような体になる前……私は何者だったのでしょう。" -> "Before becoming such a body ... Who was I?"
"楽士" -> "musician"
"メイド" -> "A maid"
"娼婦" -> "Prostitute"
"楽士" -> "musician"
"【ジェライラ】" -> "【Jeala】"
"そうだったのかもしれませんね。" -> "It may have been so."
"私の体には、何かの旋律が染み渡っていますから……" -> "Because there is something melody sticking to my body ......"
"メイド" -> "A maid"
"【ジェライラ】" -> "【Jeala】"
"私が給仕であったと……？" -> "I was a servant ... ....?"
"あまり得意とは思えませんね。" -> "I do not think it is very good."
"娼婦" -> "Prostitute"
"【ジェライラ】" -> "【Jeala】"
"その言葉には、侮蔑の響きがありますね……" -> "In that word, there is a sound of contempt ...."
"【ジェライラ】" -> "【Jeala】"
"常に頭の中に響くメロディがあります。" -> "There is always a melody that resonates in my head."
"これはいったい何なのでしょう……？" -> "What on earth is this ... ....?"
"記憶の扉" -> "Door of memory"
"僕の鼻歌" -> "My humming"
"隣家の騒音" -> "Neighboring noises"
"記憶の扉" -> "Door of memory"
"【ジェライラ】" -> "【Jeala】"
"私の……記憶……" -> "My ... ... memories ......"
"僕の鼻歌" -> "My humming"
"【ジェライラ】" -> "【Jeala】"
"まともに取り合っては頂けないのですね……" -> "You can not stay in a decent ... ..."
"隣家の騒音" -> "Neighboring noises"
"【ジェライラ】" -> "【Jeala】"
"いえ、隣家に住んでいたのは穏やかな老婦人でした……" -> "No, I lived in my neighbor home was a gentle old lady ......"
"……これは、私の中の記憶……！？" -> "...... This is a memory inside me ......! What?"
"要求" -> "request"
"【ジェライラ】" -> "【Jeala】"
"眠らないように、気付け薬を……" -> "To keep you from sleeping, keep care ... ..."
"「気付け薬」をあげますか？（所持数：" -> "Can you give me \"care-of medicine\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ジェライラ】" -> "【Jeala】"
"嬉しい……" -> "happy……"
"いいえ" -> "No"
"【ジェライラ】" -> "【Jeala】"
"そう……" -> "so……"
"【ジェライラ】" -> "【Jeala】"
"卵を……下さい……" -> "Please give me eggs ......"
"「たまご」をあげますか？（所持数：" -> "Would you give \"egg\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ジェライラ】" -> "【Jeala】"
"嬉しい……" -> "happy……"
"いいえ" -> "No"
"【ジェライラ】" -> "【Jeala】"
"そう……" -> "so……"
"【ジェライラ】" -> "【Jeala】"
"お金を……下さい……" -> "Money ... please ... ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ジェライラ】" -> "【Jeala】"
"嬉しい……" -> "happy……"
"いいえ" -> "No"
"【ジェライラ】" -> "【Jeala】"
"そう……" -> "so……"
"【ジェライラ】" -> "【Jeala】"
"……持っていないのですね……" -> "...... I do not have it ..."
"贈与" -> "Gift"
"【ジェライラ】" -> "【Jeala】"
"これを、どうぞ……" -> "Do this, please ..."
"ジェライラから「金の針」をもらった！" -> "I got \"gold needle\" from Jeraira!"
"【ジェライラ】" -> "【Jeala】"
"これを、どうぞ……" -> "Do this, please ..."
"ジェライラから「聖水」をもらった！" -> "I received \"holy water\" from Jeraira!"
"【ジェライラ】" -> "【Jeala】"
"これを、どうぞ……" -> "Do this, please ..."
"ジェライラから1810Gをもらった！" -> "I got 1810 G from Jeraira!"
