"会話：ウィングハーピー" -> "Conversation: Winghapy"
"【ウィングハーピー】" -> "【Wing Hervey】"
"旅人なら、そんなところね……" -> "If you are a traveler, that is the place ... ..."
"一日中寝ている" -> "I sleep all day."
"【ウィングハーピー】" -> "【Wing Hervey】"
"寝過ぎよ……でも、うらやましいわ。" -> "I'm too sleepy ... but I'm jealous."
"まったく寝ていない" -> "I have not slept at all"
"【ウィングハーピー】" -> "【Wing Hervey】"
"ダメよ、もう寝なさい……" -> "No, you should go to bed now ......"
"【ウィングハーピー】" -> "【Wing Hervey】"
"ちょっと居眠りしていい……？" -> "May I snooze a bit ...?"
"いいよ" -> "OK"
"ダメだ" -> "It is useless."
"一緒に寝よう" -> "Let's sleep together"
"いいよ" -> "OK"
"【ウィングハーピー】" -> "【Wing Hervey】"
"眠っている間に、何をする気なの？" -> "What are you going to do while you are asleep?"
"いやらしいわ……" -> "It is irresistible ..."
"ダメだ" -> "It is useless."
"【ウィングハーピー】" -> "【Wing Hervey】"
"そう……戦闘中だものね。" -> "Yeah ... ... It's in battle."
"一緒に寝よう" -> "Let's sleep together"
"【ウィングハーピー】" -> "【Wing Hervey】"
"なら……戦闘が終わってから、眠りましょう。" -> "Then ... Let's sleep after the battle is over."
"【ウィングハーピー】" -> "【Wing Hervey】"
"ハーピーの里では、みんな平和に暮らしているのかしら……？" -> "I wonder if everyone lives peacefully in the village of Harpy ...?"
"平和に暮らしてる" -> "I live in peace"
"トラブルが起きている" -> "Trouble is occurring"
"僕が滅ぼした" -> "I was destroyed."
"平和に暮らしてる" -> "I live in peace"
"【ウィングハーピー】" -> "【Wing Hervey】"
"そう……良かったわ。" -> "Yeah ... that's good."
"トラブルが起きている" -> "Trouble is occurring"
"【ウィングハーピー】" -> "【Wing Hervey】"
"大変ね、様子を見に行こうかしら……" -> "I have a hard time, I guess I should go see the situation ......"
"僕が滅ぼした" -> "I was destroyed."
"【ウィングハーピー】" -> "【Wing Hervey】"
"なんで、そんな嘘を言うの……？" -> "Why are you saying such a lie ...?"
"要求" -> "request"
"【ウィングハーピー】" -> "【Wing Hervey】"
"山彦草を頂きましょうか……" -> "Should I get Yamajihiko ......"
"「山彦草」をあげますか？（所持数：" -> "Can you give up \"Yamajihiko\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ウィングハーピー】" -> "【Wing Hervey】"
"嬉しいですね……" -> "I am happy."
"いいえ" -> "No"
"【ウィングハーピー】" -> "【Wing Hervey】"
"そうですか……" -> "Is that so……"
"【ウィングハーピー】" -> "【Wing Hervey】"
"りんごをもらいましょうか……" -> "Shall I get an apple ...?"
"「りんご」をあげますか？（所持数：" -> "Do you give \"apples\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ウィングハーピー】" -> "【Wing Hervey】"
"嬉しいですね……" -> "I am happy."
"いいえ" -> "No"
"【ウィングハーピー】" -> "【Wing Hervey】"
"そうですか……" -> "Is that so……"
"【ウィングハーピー】" -> "【Wing Hervey】"
"お金をもらいましょうか……" -> "Shall I get some money ...?"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ウィングハーピー】" -> "【Wing Hervey】"
"嬉しいですね……" -> "I am happy."
"いいえ" -> "No"
"【ウィングハーピー】" -> "【Wing Hervey】"
"そうですか……" -> "Is that so……"
"【ウィングハーピー】" -> "【Wing Hervey】"
"……いえ、手持ちはないようですね。" -> "...... No, it does not seem to be on hand."
"贈与" -> "Gift"
"【ウィングハーピー】" -> "【Wing Hervey】"
"これ、使って下さいね……" -> "Please use this ..."
"ナイトハーピーから「ハーピーの羽」をもらった！" -> "I got \"Harpie feathers\" from Knight Harpy!"
"【ウィングハーピー】" -> "【Wing Hervey】"
"これ、使って下さいね……" -> "Please use this ..."
"ナイトハーピーから「緑風石」をもらった！" -> "I got \"green wind stones\" from Knight Harpy!"
"【ウィングハーピー】" -> "【Wing Hervey】"
"これ、使って下さいね……" -> "Please use this ..."
"ナイトハーピーから1495Gをもらった！" -> "I got 1495 G from Knight Harpy!"
