"会話：パイズリ人形" -> "Conversation: Fucking doll"
"パイズリ人形は驚いたようだ……" -> "The fucking puppet looked surprised ... ..."
"この隙に攻撃する" -> "Attack this gap"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形は悲しそうだ……" -> "The fucking doll looks sad ... ..."
"要求" -> "request"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はアメ玉が欲しいようだ……" -> "A fucking doll seems to want an ameba ... ..."
"「アメ玉」をあげますか？（所持数：" -> "Do you give \"Amebu\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【パイズリ人形】" -> "【Fucking doll】"
"……………♪" -> "............... ♪"
"いいえ" -> "No"
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？" -> "............! What?"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はバナナが欲しいようだ……" -> "A fucking doll seems to want a banana ......"
"「バナナ」をあげますか？（所持数：" -> "Can you give me a \"banana\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【パイズリ人形】" -> "【Fucking doll】"
"……………♪" -> "............... ♪"
"いいえ" -> "No"
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？" -> "............! What?"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はお金が欲しいようだ……" -> "A fucking doll seems to want money ......"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【パイズリ人形】" -> "【Fucking doll】"
"……………♪" -> "............... ♪"
"いいえ" -> "No"
"【パイズリ人形】" -> "【Fucking doll】"
"…………！？" -> "............! What?"
"しかし、こちらには差し出すお金がない！" -> "But here I have no money to offer!"
"贈与" -> "Gift"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形はブーストドリンクを差し出した！" -> "The fucking doll presented a boost drink!"
"パイズリ人形から「ブーストドリンク」をもらった！" -> "I got \"boost drink\" from a fucking doll!"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形は魔導の歯車を差し出した！" -> "The fucking doll presented a magical gear!"
"パイズリ人形から「魔導の歯車」をもらった！" -> "I got a \"magical gear\" from a fucking doll!"
"【パイズリ人形】" -> "【Fucking doll】"
"……………………" -> "........................"
"パイズリ人形の胸に硬貨が挟んである！" -> "Coins are caught in the chest of a fucking doll!"
"パイズリ人形から820Gをもらった！" -> "I got 820 G from a fucking doll!"
