"会話：アンフィル" -> "Conversation: Amphill"
"【アンフィル】" -> "【Anfill】"
"体が絡まって解けなくなる事があるわ……" -> "Sometimes my body becomes entwined and can not be solved ..."
"どうしたらいいの……？" -> "What should I do……?"
"解き方を極める" -> "Extreme way to solve"
"絡まらないようにする" -> "Try not to get tangled"
"いっそ切断する" -> "Cut it all the way"
"解き方を極める" -> "Extreme way to solve"
"【アンフィル】" -> "【Anfill】"
"なかなか難しそうね……" -> "It seems quite difficult ..."
"絡まらないようにする" -> "Try not to get tangled"
"【アンフィル】" -> "【Anfill】"
"それができれば、苦労はしないわ……" -> "If it can be done, I will not have any difficulty ..."
"いっそ切断する" -> "Cut it all the way"
"【アンフィル】" -> "【Anfill】"
"いっそ、そうする方が手っ取り早いわね……" -> "But it is quicker to do so ..."
"【アンフィル】" -> "【Anfill】"
"あなたは、どこから来たの……？" -> "Where are you from ...?"
"タルタロスの外から来た" -> "I came from outside of Tartarus"
"タルタロスの中からわき出た" -> "I got out of Tartarus"
"分からない" -> "I do not understand"
"タルタロスの外から来た" -> "I came from outside of Tartarus"
"【アンフィル】" -> "【Anfill】"
"なら侵入者ね……排除するわ……" -> "Then you're an intruder ... ... I will exclude ... ..."
"タルタロスの中からわき出た" -> "I got out of Tartarus"
"【アンフィル】" -> "【Anfill】"
"でも、アポトーシスじゃないわね……" -> "But it is not apoptosis ..."
"分からない" -> "I do not understand"
"【アンフィル】" -> "【Anfill】"
"なら、私と同じ……" -> "Then, the same as me ......"
"要求" -> "request"
"【アンフィル】" -> "【Anfill】"
"ソーセージをちょうだい……" -> "Please give me a sausage ..."
"「ソーセージ」をあげますか？（所持数：" -> "Do you give \"sausage\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アンフィル】" -> "【Anfill】"
"くれるの……ふふっ……" -> "Give me .... Huh ... ..."
"いいえ" -> "No"
"【アンフィル】" -> "【Anfill】"
"……………………" -> "........................"
"【アンフィル】" -> "【Anfill】"
"氷石をちょうだい……" -> "Give me an ice stone ......"
"「氷石」をあげますか？（所持数：" -> "Do you give \"Ice Stone\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アンフィル】" -> "【Anfill】"
"くれるの……ふふっ……" -> "Give me .... Huh ... ..."
"いいえ" -> "No"
"【アンフィル】" -> "【Anfill】"
"……………………" -> "........................"
"【アンフィル】" -> "【Anfill】"
"お金をちょうだい……" -> "Please give me some money ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アンフィル】" -> "【Anfill】"
"くれるの……ふふっ……" -> "Give me .... Huh ... ..."
"いいえ" -> "No"
"【アンフィル】" -> "【Anfill】"
"……………………" -> "........................"
"【アンフィル】" -> "【Anfill】"
"……ないの？　ないみたいね……" -> "……There no? I do not think so ..."
"贈与" -> "Gift"
"【アンフィル】" -> "【Anfill】"
"イカをあげるわ……" -> "I will give you a squid ..."
"アンフィルから「イカ」をもらった！" -> "I got \"squid\" from Amfill!"
"【アンフィル】" -> "【Anfill】"
"混沌の塊をあげるわ……" -> "I will give you a mass of chaos ..."
"アンフィルから「混沌の塊」をもらった！" -> "I got \"chunk of lump\" from Amphill!"
"【アンフィル】" -> "【Anfill】"
"お金をあげるわ……" -> "I will give you money ..."
"アンフィルから1660Gをもらった！" -> "I got 1660 G from Amfill!"
