"会話：フェイクジェリー" -> "Conversation: Fake Jelly"
"つかない" -> "Not stick"
"【フェイクジェリー】" -> "【Fake Jelly】"
"やったぁ！" -> "I did it!"
"このまま、人間の町に行っちゃおうかな～？" -> "Would you like to go to a town in this way?"
"つく" -> "To take"
"【フェイクジェリー】" -> "【Fake Jelly】"
"バレちゃいますか？" -> "Are you upset?"
"何がいけないんだろう……" -> "I wonder what's wrong ......"
"君は人間だ" -> "You are a human being."
"【フェイクジェリー】" -> "【Fake Jelly】"
"いえ……くらげです。" -> "No ... ... It is jellyfish."
"【フェイクジェリー】" -> "【Fake Jelly】"
"触手はちぎれても、すぐ生えてくるんでしょう。" -> "Even if the tentacle breaks, it will grow soon."
"すごいでしょう？" -> "Is not it amazing?"
"すごい" -> "Amazing"
"すごくない" -> "Not great"
"人間もそうだ" -> "Human beings as well"
"すごい" -> "Amazing"
"【フェイクジェリー】" -> "【Fake Jelly】"
"そうですよね！？" -> "That's right! What?"
"生えてくるって、すごいですよね～！" -> "It is amazing to be growing ~!"
"すごくない" -> "Not great"
"【フェイクジェリー】" -> "【Fake Jelly】"
"そうですかぁ……？" -> "Is that so ...?."
"すごいと思うんだけど……" -> "I think it's amazing ...."
"人間もそうだ" -> "Human beings as well"
"【フェイクジェリー】" -> "【Fake Jelly】"
"嘘ですよね、こわい……" -> "It's a lie, scary ..."
"【フェイクジェリー】" -> "【Fake Jelly】"
"あたしの体、何パーセントが水分だと思いますか？" -> "What do you think my body, what percentage is moisture?"
"パーセント" -> "percent"
"パーセント" -> "percent"
"パーセント" -> "percent"
"パーセント" -> "percent"
"【フェイクジェリー】" -> "【Fake Jelly】"
"そうです、ほとんど水ですよね～！" -> "That's right, it's almost water!"
"あたし、だいたい水なんですよ！" -> "I, it is roughly water!"
"パーセント" -> "percent"
"【フェイクジェリー】" -> "【Fake Jelly】"
"それ、ただの水じゃないですか……" -> "Is not it just water? ..."
"パーセント" -> "percent"
"【フェイクジェリー】" -> "【Fake Jelly】"
"水分がまったく含まれてない生物って、なんなんですか。" -> "What creatures do not contain any moisture?"
"怖いですよう……" -> "It is scary ......"
"要求" -> "request"
"【フェイクジェリー】" -> "【Fake Jelly】"
"魚が食べたいなぁ……" -> "I want to eat fish ......"
"「さかな」をあげますか？（所持数：" -> "Do you give \"fish\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【フェイクジェリー】" -> "【Fake Jelly】"
"嬉しいです！" -> "I'm happy!"
"いいえ" -> "No"
"【フェイクジェリー】" -> "【Fake Jelly】"
"え～？" -> "What?"
"【フェイクジェリー】" -> "【Fake Jelly】"
"ハーピーの羽で、遠くに旅行に行きたいな……♪" -> "With a feather of Harpy, I want to go on a trip far away ... ♪"
"「ハーピーの羽」をあげますか？（所持数：" -> "Would you give \"feather of Harpy\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【フェイクジェリー】" -> "【Fake Jelly】"
"嬉しいです！" -> "I'm happy!"
"いいえ" -> "No"
"【フェイクジェリー】" -> "【Fake Jelly】"
"え～？" -> "What?"
"【フェイクジェリー】" -> "【Fake Jelly】"
"お金が欲しいな……♪" -> "I want money, ... ♪"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【フェイクジェリー】" -> "【Fake Jelly】"
"嬉しいです！" -> "I'm happy!"
"いいえ" -> "No"
"【フェイクジェリー】" -> "【Fake Jelly】"
"え～？" -> "What?"
"【フェイクジェリー】" -> "【Fake Jelly】"
"……あっ、ないんですね……" -> "Ah, there is not it."
"贈与" -> "Gift"
"【フェイクジェリー】" -> "【Fake Jelly】"
"これあげます、シャッキリしますよ♪" -> "I give this, I will clearly ♪"
"フェイクジェリーから「気付け薬」をもらった！" -> "I got a \"care-of medicine\" from Fake Jelly!"
"【フェイクジェリー】" -> "【Fake Jelly】"
"タコ捕まえたので、あげます！" -> "I got an octopus, so I'll give it to you!"
"フェイクジェリーから「タコ」をもらった！" -> "I got \"Octopus\" from Fake Jelly!"
"【フェイクジェリー】" -> "【Fake Jelly】"
"お金、あげます！" -> "I will give you money!"
"フェイクジェリーから1530Gをもらった！" -> "I got 1530 G from Fake Jelly!"
