"会話：エミリ" -> "Conversation: Emily"
"がんばれ" -> "Do your best"
"無理だ" -> "It impossible"
"ポケット魔王城" -> "Pocket Maiden Castle"
"がんばれ" -> "Do your best"
"【エミリ】" -> "【Emily】"
"がんばって、どうにかなるの……？" -> "Do your best, somehow ... ....?"
"無理だ" -> "It impossible"
"【エミリ】" -> "【Emily】"
"ふん！　分かってるわよ！" -> "Hmm! I know!"
"ポケット魔王城" -> "Pocket Maiden Castle"
"【エミリ】" -> "【Emily】"
"そんなのあるの？" -> "Is there such a thing?"
"エミリも、そこに住みたい！" -> "Emili wants to live there too!"
"【エミリ】" -> "【Emily】"
"ツインテール触手、とってもオシャレでしょ？" -> "Twin tale tentacles, very fashionable right?"
"オシャレだ" -> "It is fashionable."
"微妙だ" -> "Subtle"
"悲惨だ" -> "It's miserable"
"オシャレだ" -> "It is fashionable."
"【エミリ】" -> "【Emily】"
"えへへっ……そんなに良い？" -> "Huh ... .... that much better?"
"巻き付いて、たっぷり締め付けてあげるからね♪" -> "Winding around, I'll tightly tighten ♪"
"微妙だ" -> "Subtle"
"【エミリ】" -> "【Emily】"
"何よ！　大嫌い！" -> "What! I hate it!"
"悲惨だ" -> "It's miserable"
"【エミリ】" -> "【Emily】"
"えっ……！？　そこまでひどいの……？" -> "eh……! What? Is that bad so far ...?"
"なんだか不安になってきちゃった……" -> "I got anxious somewhat ......"
"要求" -> "request"
"【エミリ】" -> "【Emily】"
"エミリ、チョコレートが食べたいなぁ……？" -> "Emily, I want to eat chocolate ... ....?"
"「チョコレート」をあげますか？（所持数：" -> "Would you give \"chocolate\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【エミリ】" -> "【Emily】"
"あはっ、嬉しい……♪" -> "Happy, I'm happy ... ♪"
"いいえ" -> "No"
"【エミリ】" -> "【Emily】"
"きら～い！" -> "I love you!"
"【エミリ】" -> "【Emily】"
"エミリ、ケーキが食べたいなぁ……？" -> "Emilie, I want to eat cake ... ....?"
"「ケーキ」をあげますか？（所持数：" -> "Could you give \"cake\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【エミリ】" -> "【Emily】"
"あはっ、嬉しい……♪" -> "Happy, I'm happy ... ♪"
"いいえ" -> "No"
"【エミリ】" -> "【Emily】"
"きら～い！" -> "I love you!"
"【エミリ】" -> "【Emily】"
"エミリ、おこづかい欲しいなぁ……？" -> "Emily, I want a charge ... ....?"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【エミリ】" -> "【Emily】"
"あはっ、嬉しい……♪" -> "Happy, I'm happy ... ♪"
"いいえ" -> "No"
"【エミリ】" -> "【Emily】"
"きら～い！" -> "I love you!"
"【エミリ】" -> "【Emily】"
"……って、あんた貧乏じゃない！" -> "...... You are not poor!"
"贈与" -> "Gift"
"【エミリ】" -> "【Emily】"
"エミリの触手、大事にしてよね！" -> "Emily's tentacle, take care!"
"エミリから「巻き付く触手」をもらった！" -> "Emili got \"winding tentacles\"!"
"【エミリ】" -> "【Emily】"
"このドリンクで、元気一杯！" -> "Enjoy yourself with this drink!"
"エミリから「ブーストドリンク」をもらった！" -> "I got \"boost drink\" from Emilie!"
"【エミリ】" -> "【Emily】"
"このお金で、一緒に遊びにいこうよ！" -> "With this money, let's go play together!"
"エミリから2250Gをもらった！" -> "I got 2250 G from Emilie!"
