"会話：ハナビラカマキリ娘" -> "Conversation: Hanabira mantis girls"
"ただのカマキリ娘よりも、可憐で優雅……" -> "Pretty graceful than ever mantis girls ......"
"それがハナビラカマキリ娘なのよ。" -> "That is Mantis Hanabira Kamakiri girl."
"服を着ている" -> "I am wearing clothes"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"そう……粗野なカマキリ娘とは違うのよ。" -> "Yes ... it is different from the crude mantis girls."
"紫色" -> "purple"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"色くらいしか違いが分からないの……？" -> "Can you tell the difference only in color ...?"
"貧しい目ね……" -> "Poor eyes ..."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"花の振りをして、寄ってきた獲物を襲うの。" -> "Pretending to be a flower, I attack the prey that came."
"これを、何というか知ってるかしら……？" -> "I wonder what I mean by this ...?"
"擬態" -> "Mimicry"
"正体" -> "Identity"
"変態" -> "transformation"
"擬態" -> "Mimicry"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"そうよ、物知りなのね……" -> "That's right, okay ..."
"正体" -> "Identity"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"まあ、間違ってはいないけれど……" -> "Well, it is not wrong though ......"
"変態" -> "transformation"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"それは、あなたよ……" -> "That's you ..."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"花のような体は、美しいでしょう……？" -> "The body like a flower will be beautiful ... ....?"
"美しい" -> "it's beautiful"
"そうでもない" -> "Not really"
"花に見えない" -> "It does not look like a flower"
"美しい" -> "it's beautiful"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"ふふっ、嬉しいわ……" -> "Huh, I'm happy ..."
"そうでもない" -> "Not really"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"そう……つれないのね。" -> "Yeah ... ... you can not connect."
"花に見えない" -> "It does not look like a flower"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"そ、そうかしら……" -> "I wonder ... I wonder ..."
"ショックだわ……" -> "It's a shock ..."
"要求" -> "request"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"肉をもらえない……？" -> "I do not get meat ... ....?"
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"感謝するわ……" -> "I thank you ...."
"いいえ" -> "No"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"残念ね、もういいわ……" -> "I'm sorry, I do not have enough ... ..."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"金の針をもらえない……？" -> "I do not get a gold needle ..."
"「金の針」をあげますか？（所持数：" -> "Could you give \"golden needle\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"感謝するわ……" -> "I thank you ...."
"いいえ" -> "No"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"残念ね、もういいわ……" -> "I'm sorry, I do not have enough ... ..."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"お金をもらえない……？" -> "I do not get money ...?"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"感謝するわ……" -> "I thank you ...."
"いいえ" -> "No"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"残念ね、もういいわ……" -> "I'm sorry, I do not have enough ... ..."
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"……持ち合わせがないの？　頼りないわね……" -> "...... Do you have a business with you? I do not depend on you ..."
"贈与" -> "Gift"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"私の羽をあげるわ……" -> "I will give you my wings ..."
"ハナビラカマキリ娘から「魔虫の羽根」をもらった！" -> "I got \"magician feather\" from Hanabira mantis kamakiri daughter!"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"不味そうだし、あげるわ……" -> "It looks unpleasant, I will give it ..."
"ハナビラカマキリ娘から「カブトムシ」をもらった！" -> "I got \"beetle\" from Hanabira mantis girls!"
"【ハナビラカマキリ娘】" -> "【Hanabira mantis girl】"
"少ないけれど、あげるわ……" -> "It's small but I will give it ..."
"ハナビラカマキリ娘から1600Gをもらった！" -> "I got 1600 G from Hanabira mantis girls!"
