"会話：ねこまた" -> "Conversation: Nekomarada"
"【ルカ】" -> "【Luke】"
"……………………" -> "........................"
"【ねこまた】" -> "【Nekomata】"
"……………………" -> "........................"
"気まずい空気が流れる……" -> "Awkward air flows ......"
"要求" -> "request"
"【ねこまた】" -> "【Nekomata】"
"にゃ～♪" -> "Meow"
"かつおぶしをおねだりしている！" -> "I am pushing for an oyster!"
"「かつおぶし」をあげますか？（所持数：" -> "Would you give \"toppori\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ねこまた】" -> "【Nekomata】"
"ゴロゴロゴロ……" -> "Rolling rope ... ...."
"いいえ" -> "No"
"【ねこまた】" -> "【Nekomata】"
"フー！" -> "Fu!"
"【ねこまた】" -> "【Nekomata】"
"にゃ～♪" -> "Meow"
"さかなをおねだりしている！" -> "I am placing a fish!"
"「さかな」をあげますか？（所持数：" -> "Do you give \"fish\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ねこまた】" -> "【Nekomata】"
"ゴロゴロゴロ……" -> "Rolling rope ... ...."
"いいえ" -> "No"
"【ねこまた】" -> "【Nekomata】"
"フー！" -> "Fu!"
"【ねこまた】" -> "【Nekomata】"
"にゃ～♪" -> "Meow"
"お金をおねだりしている！" -> "I am pushing for money!"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【ねこまた】" -> "【Nekomata】"
"ゴロゴロゴロ……" -> "Rolling rope ... ...."
"いいえ" -> "No"
"【ねこまた】" -> "【Nekomata】"
"フー！" -> "Fu!"
"しかしこちらの持ち合わせがない事を察し、そっぽを向いた！" -> "However, I was aware that there was no possession of me here and it turned to me!"
"贈与" -> "Gift"
"【ねこまた】" -> "【Nekomata】"
"にゃっ♪" -> "Nya ♪"
"ねこまたから「猫のヒゲ」をもらった！" -> "I got a \"beard of cat\" from a cat!"
"【ねこまた】" -> "【Nekomata】"
"にゃっ♪" -> "Nya ♪"
"ねこまたから「妖怪の髪」をもらった！" -> "I got \"youkai 's hair\" from Nekomaru!"
"【ねこまた】" -> "【Nekomata】"
"にゃっ♪" -> "Nya ♪"
"ねこまたから870Gをもらった！" -> "I got 870 G from a cat!"
