"会話：スズメバチ娘" -> "Conversation: a hornet girl"
"アルラウネのすみか" -> "Arlaune's hide"
"ミツバチ娘の巣" -> "Honeybee daughter's nest"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ミツバチ、キライ……" -> "Bees, cute ..."
"クマ娘の巣" -> "Bear's daughter's nest"
"【スズメバチ娘】" -> "[Wasps daughter]"
"後デ、クマ襲ッテクル！" -> "After de, bear attack!"
"アルラウネのすみか" -> "Arlaune's hide"
"【スズメバチ娘】" -> "[Wasps daughter]"
"植物カラ奪ウ！　イイキモチ！" -> "Plant robbery! Ikimochi!"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ハチミツタクサン集メルト、重クテ飛ベナイ……" -> "Honey Taxus Collection Melt, Heavy Kite Flight Benai ......"
"ドウスレバイイ？" -> "Do you levay?"
"ハチミツの量を減らす" -> "Reduce the amount of honey"
"飛行力を鍛える" -> "Train flying power"
"サボる" -> "To skip"
"ハチミツの量を減らす" -> "Reduce the amount of honey"
"【スズメバチ娘】" -> "[Wasps daughter]"
"女王様ニ、イッパイ運ビタイ……" -> "Queen Mr. Deng, Ippai Lucky Bitai ......"
"飛行力を鍛える" -> "Train flying power"
"【スズメバチ娘】" -> "[Wasps daughter]"
"羽ヲ鍛エル！　ブン、ブン、ブン……♪" -> "Haneogi Elle! Bun, Bun, Bun ... ... ♪"
"サボる" -> "To skip"
"【スズメバチ娘】" -> "[Wasps daughter]"
"サボル奴、敵！" -> "Sabol, his enemy!"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ブン♪　ブン♪　ブン♪" -> "Bun ♪ Bun ♪ Bun ♪"
"……ナニガ飛ブ？" -> "...... Naniga flight?"
"ハチ" -> "Bee"
"ハエ" -> "Fly"
"僕" -> "I"
"ハチ" -> "Bee"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ソレデ合ッテル！" -> "Sorede gutter!"
"ハエ" -> "Fly"
"【スズメバチ娘】" -> "[Wasps daughter]"
"一緒ニスルナ！" -> "Together with Nisuna!"
"僕" -> "I"
"【スズメバチ娘】" -> "[Wasps daughter]"
"飛ンデケー！" -> "Flydeke!"
"要求" -> "request"
"【スズメバチ娘】" -> "[Wasps daughter]"
"肉、タベタイ……" -> "Meat, Tabetai ..."
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ウレシイ！" -> "Ureshii!"
"いいえ" -> "No"
"【スズメバチ娘】" -> "[Wasps daughter]"
"……………………" -> "........................"
"【スズメバチ娘】" -> "[Wasps daughter]"
"植物ノ毒、消エナイ……" -> "Plant noxiousness, quenching ..."
"毒消シ、ホシイ……" -> "Poison off, Hoshii ..."
"「毒消し草」をあげますか？（所持数：" -> "Will you give \"poisoning grass\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ウレシイ！" -> "Ureshii!"
"いいえ" -> "No"
"【スズメバチ娘】" -> "[Wasps daughter]"
"……………………" -> "........................"
"【スズメバチ娘】" -> "[Wasps daughter]"
"オ金、欲シイ……" -> "Kim, greedy shield ......"
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ウレシイ！" -> "Ureshii!"
"いいえ" -> "No"
"【スズメバチ娘】" -> "[Wasps daughter]"
"……………………" -> "........................"
"【スズメバチ娘】" -> "[Wasps daughter]"
"オ前モ、モッテナイ……" -> "O Previous Mo, Motetaii ..."
"贈与" -> "Gift"
"【スズメバチ娘】" -> "[Wasps daughter]"
"針、アゲル……" -> "Needle, Agel ..."
"スズメバチ娘から「猛毒の針」をもらった！" -> "I got a \"poisonous needle\" from a hornet daughter!"
"【スズメバチ娘】" -> "[Wasps daughter]"
"ハチミツ、アゲル……" -> "Honey, agel ..."
"スズメバチ娘から「ハチミツ」をもらった！" -> "I got \"honey\" from a hornet girl!"
"【スズメバチ娘】" -> "[Wasps daughter]"
"オ金、アゲル……" -> "Oh Kim, Agel ..."
"スズメバチ娘から1860Gをもらった！" -> "I got 1860 G from a hornet girl!"
