"会話：襖" -> "Conversation: sliding door"
"あの子達と違って、肉食だけどね……♪" -> "Unlike that girls, they are carnivores, but ... ♪"
"ぬらりひょん" -> "Nurarihyan"
"【襖】" -> "【Fuji】"
"全然ちがうよ～！" -> "Not at all!"
"【襖】" -> "【Fuji】"
"やっぱり、野菜を食べなきゃダメかな……？" -> "After all I have to eat vegetables ... ....?"
"ダメ" -> "No good"
"その必要はない" -> "That is not needed"
"僕を野菜だと思って" -> "I thought that I was a vegetable"
"ダメ" -> "No good"
"【襖】" -> "【Fuji】"
"やだなぁ……" -> "No way ... ...."
"その必要はない" -> "That is not needed"
"【襖】" -> "【Fuji】"
"そうだよね！" -> "That's true!"
"僕を野菜だと思って" -> "I thought that I was a vegetable"
"【襖】" -> "【Fuji】"
"つまり、食べていいってわけよね～♪" -> "In short, you can eat it ♪ ~ ♪"
"【襖】" -> "【Fuji】"
"あたし、なんで海にいるか知ってる？" -> "Why do you know why you are in the sea?"
"海が好きだから" -> "Because I like the sea"
"前世は人魚だから" -> "Because the former world is a mermaid"
"獲物を襲いやすいから" -> "Because it is easy to attack prey"
"海が好きだから" -> "Because I like the sea"
"【襖】" -> "【Fuji】"
"う～ん、別に好きじゃないんだよね……" -> "Well, I do not like it anymore ..."
"もちろん、嫌いでもないけど。" -> "Of course, I do not dislike it, though."
"前世は人魚だから" -> "Because the former world is a mermaid"
"【襖】" -> "【Fuji】"
"いや、たぶん違うと思うよ……" -> "No, I think it's probably different ..."
"……たぶんだけど。" -> "...... Maybe, but."
"獲物を襲いやすいから" -> "Because it is easy to attack prey"
"【襖】" -> "【Fuji】"
"大正解～♪" -> "Large Correct! ~ ♪"
"潮風に乗って、かなり自由に動けるんだよね。" -> "You can move quite freely by riding the sea breeze."
"要求" -> "request"
"【襖】" -> "【Fuji】"
"肉が食べたいなぁ……" -> "I want to eat meat ......"
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【襖】" -> "【Fuji】"
"わ～い♪" -> "I"
"いいえ" -> "No"
"【襖】" -> "【Fuji】"
"ひど～い……" -> "Very bad"
"【襖】" -> "【Fuji】"
"潮風が目に入っちゃった……目薬ない？" -> "Sea breeze came into my eyes .... No eye drops?"
"「目薬」をあげますか？（所持数：" -> "Would you give me \"eye drops\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【襖】" -> "【Fuji】"
"わ～い♪" -> "I"
"いいえ" -> "No"
"【襖】" -> "【Fuji】"
"ひど～い……" -> "Very bad"
"【襖】" -> "【Fuji】"
"お金、ほしいなぁ……" -> "I want money, ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【襖】" -> "【Fuji】"
"わ～い♪" -> "I"
"いいえ" -> "No"
"【襖】" -> "【Fuji】"
"ひど～い……" -> "Very bad"
"【襖】" -> "【Fuji】"
"……って、あたしより貧乏……" -> "...... Poor than me ......"
"贈与" -> "Gift"
"【襖】" -> "【Fuji】"
"これあげる、持ってると燃えちゃいそうだから……" -> "I will give you this, as you have it seems to burn ... ..."
"襖から「紅炎石」をもらった！" -> "I got \"red flame stone\" from the sliding door!"
"【襖】" -> "【Fuji】"
"これあげる！　食べ残しじゃないからね……" -> "L give this to you! I do not have leave to eat ..."
"襖から「ほしにく」をもらった！" -> "I got \"Hoshino\" from the sliding door!"
"【襖】" -> "【Fuji】"
"お金、欲しいでしょ……？" -> "I want money, do not you ...?"
"襖から2575Gをもらった！" -> "I got 2575 G from the sliding door!"
