"会話：アジ・ダハーカ" -> "Conversation: Asia Dahaha"
"ならば、思う存分凍てつくがいい！" -> "Then, freeze it as much as you want!"
"両方" -> "Both"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"贅沢だな……どちらかでは駄目なのか？" -> "Luxury ... ... Is it useless?"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ところで……スフィンクスは健勝にしているのか？" -> "By the way ... Is Sphinx in a good condition?"
"ピラミッドで隠居" -> "Retire with the pyramid"
"元気に大暴れ" -> "Rampage vigorously"
"死んだ" -> "Died"
"ピラミッドで隠居" -> "Retire with the pyramid"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ふん、変わらんな……" -> "Hmm, it will not change ..."
"元気に大暴れ" -> "Rampage vigorously"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ほう、面白い！" -> "How interesting!"
"奴もとうとう、夫を亡くした哀しみから立ち直ったか！" -> "He finally got over it from his sorrow who lost his husband!"
"死んだ" -> "Died"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"なんと、スフィンクスは死んだのか……？" -> "How, was the Sphinx dead ...?"
"今頃、あの世で夫と仲良く暮らしておろう。" -> "I will live with my husband in the other world at this time."
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"我の種族、何か分かるか……？" -> "My race, do you know something ...?"
"妖魔" -> "Demon"
"竜" -> "dragon"
"ラミア" -> "Lamia"
"全部" -> "All"
"妖魔" -> "Demon"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"間違いではないが、それでは足りぬな。" -> "It's not a mistake, but that's not enough."
"我は妖魔、竜、ラミアの特質を併せ持っているのだ！" -> "I combine the characteristics of Youma, Dragon, and Lamia!"
"竜" -> "dragon"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"間違いではないが、それでは足りぬな。" -> "It's not a mistake, but that's not enough."
"我は妖魔、竜、ラミアの特質を併せ持っているのだ！" -> "I combine the characteristics of Youma, Dragon, and Lamia!"
"ラミア" -> "Lamia"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"間違いではないが、それでは足りぬな。" -> "It's not a mistake, but that's not enough."
"我は妖魔、竜、ラミアの特質を併せ持っているのだ！" -> "I combine the characteristics of Youma, Dragon, and Lamia!"
"全部" -> "All"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"その通り！" -> "Exactly!"
"我は妖魔、竜、ラミアの特質を併せ持っているのだ！" -> "I combine the characteristics of Youma, Dragon, and Lamia!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"なぜ我が、クィーンアルラウネを洗脳したか分かるか？" -> "Why do you know what brainwashed Queen Arlaune?"
"植物嫌い" -> "Plant dislikes"
"黒のアリスの指示" -> "Black Alice's instructions"
"むしゃくしゃしてやった" -> "I murmured"
"植物嫌い" -> "Plant dislikes"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ははは、面白い事を言う！" -> "Hahaha, say something funny!"
"まあ、野菜は好きではないがな！" -> "Well, I do not like vegetables!"
"黒のアリスの指示" -> "Black Alice's instructions"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"その通りよ！" -> "That's right!"
"花の女王の乱心は、正史の必然なのだとか……" -> "The disturbance of the Queen of flowers is inevitable of Masashi ... ..."
"むしゃくしゃしてやった" -> "I murmured"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"我がそこまで愚かだとでも……？" -> "Even though my mind is silly ...?"
"今が最もむしゃくしゃしておるわ！" -> "I am most disgusted now!"
"要求" -> "request"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"肉が食べたいものだな……" -> "I want meat to eat ......"
"「肉」をあげますか？（所持数：" -> "Would you give me \"meat\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"親切な人間がいるではないか……" -> "There are kind people, ......"
"いいえ" -> "No"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ならば倒して奪うまで……" -> "Then knock it down and take it away ......"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"その食べ物は……ハンバーガーというのか？" -> "Is that food ... ... a hamburger?"
"ぜひ味わってみたいものだ……" -> "I would definitely like to try it ......"
"「ハンバーガー」をあげますか？（所持数：" -> "Would you give me a \"hamburger\"? (The number of possession:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"親切な人間がいるではないか……" -> "There are kind people, ......"
"いいえ" -> "No"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ならば倒して奪うまで……" -> "Then knock it down and take it away ......"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"この時代の金、捧げてもらおうか……" -> "Let me dedicate gold of this time ... ..."
"をあげますか？（所持金：" -> "Do you give? (Possession fee:"
"）" -> ")"
"はい" -> "Yes"
"いいえ" -> "No"
"はい" -> "Yes"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"親切な人間がいるではないか……" -> "There are kind people, ......"
"いいえ" -> "No"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"ならば倒して奪うまで……" -> "Then knock it down and take it away ......"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"……持ち合わせがないのか？" -> "... ... You do not have them?"
"贈与" -> "Gift"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"我が牙をくれてやろう……" -> "I will give you my fangs ..."
"アジ・ダハーカから「竜の牙」をもらった！" -> "I got \"Dragon's Fang\" from Asia · Dahaka!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"この薬をくれてやろう……" -> "I will give you this medicine ... ..."
"アジ・ダハーカから「霊薬」をもらった！" -> "I received 'spiritual medicine' from Asia · Dahaska!"
"【アジ・ダハーカ】" -> "【Aji · Dakhaka】"
"小遣いをくれてやろう……" -> "Let me give you money ..."
"アジ・ダハーカから5875Gをもらった！" -> "I got 5875 G from Asia · Dahaka!"
